Year, NodeID, IndividualID, Gender, AgeYears, IndividualProperties,NumRels_Last6Months_TRANSITORY,NumRels_Last6Months_INFORMAL,NumRels_Last6Months_MARITAL,NumRels_Last6Months_COMMERCIAL,NumRels_Active_TRANSITORY,NumRels_Active_INFORMAL,NumRels_Active_MARITAL,NumRels_Active_COMMERCIAL,NumRels_Last12Months_TRANSITORY,NumRels_Last12Months_INFORMAL,NumRels_Last12Months_MARITAL,NumRels_Last12Months_COMMERCIAL,NumUniquePartners_Last-3-Months_TRANSITORY,NumUniquePartners_Last-3-Months_INFORMAL,NumUniquePartners_Last-3-Months_MARITAL,NumUniquePartners_Last-3-Months_COMMERCIAL,NumUniquePartners_Last-6-Months_TRANSITORY,NumUniquePartners_Last-6-Months_INFORMAL,NumUniquePartners_Last-6-Months_MARITAL,NumUniquePartners_Last-6-Months_COMMERCIAL,NumUniquePartners_Last-9-Months_TRANSITORY,NumUniquePartners_Last-9-Months_INFORMAL,NumUniquePartners_Last-9-Months_MARITAL,NumUniquePartners_Last-9-Months_COMMERCIAL,NumUniquePartners_Last-12-Months_TRANSITORY,NumUniquePartners_Last-12-Months_INFORMAL,NumUniquePartners_Last-12-Months_MARITAL,NumUniquePartners_Last-12-Months_COMMERCIAL
1962,1,2,F,10.5318,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,3,F,19.1366,Risk:LOW,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,3,0
1962,1,4,M,71.8137,Risk:LOW,0,0,4,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,4,0,0,0,9,0,0,0,13,0
1962,1,5,M,37.8517,Risk:LOW,0,0,18,0,0,0,0,0,0,0,40,0,0,0,5,0,0,0,19,0,0,0,28,0,0,0,35,0
1962,1,6,M,9.78225,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,7,F,6.46546,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,8,F,27.5428,Risk:LOW,0,0,12,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,12,0,0,0,18,0,0,0,20,0
1962,1,9,F,49.7244,Risk:LOW,0,0,26,0,0,0,0,0,0,0,53,0,0,0,12,0,0,0,23,0,0,0,36,0,0,0,44,0
1962,1,10,M,48.5851,Risk:LOW,0,0,31,0,0,0,1,0,0,0,50,0,0,0,15,0,0,0,31,0,0,0,35,0,0,0,44,0
1962,1,11,M,36.0261,Risk:LOW,0,0,12,0,0,0,1,0,0,0,24,0,0,0,6,0,0,0,11,0,0,0,18,0,0,0,21,0
1962,1,12,M,1.37278,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,13,M,42.7865,Risk:LOW,0,0,22,0,0,0,0,0,0,0,45,0,0,0,11,0,0,0,22,0,0,0,33,0,0,0,42,0
1962,1,14,M,50.2227,Risk:LOW,0,0,39,0,0,0,1,0,0,0,91,0,0,0,21,0,0,0,34,0,0,0,45,0,0,0,74,0
1962,1,15,F,20.0068,Risk:LOW,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,3,0
1962,1,16,M,3.97233,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,17,M,4.82914,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,18,M,6.73548,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
