Year,Node_ID,Id,MCWeight,Age,Gender,getProbMaternalTransmission,TimeSinceHIV,CD4count,PrognosisCompletedFraction,Prognosis,Stage,ViralLoad,WHOStage,Infectiousness,ModAcquire,ModTransmit,ModMortality,ArtStatus,InfectivitySuppression,DurationOnART,ProbMaternalTransmissionModifier,OnArtQuery,CoInfectiveTransmissionFactor,CoInfectiveAcquisitionFactor,DebutAge,IsCircumcised,InterventionReducedAcquire,InterventionReducedTransmit,InterventionReducedMortality
2020.05481,1,2,1,20.13698578,1,0,0,557.6552124,0.02204938605,1360.58313,1,10000,1.568213224,0,1,1,1,1,1,-1,0,0,1,1,6076.871094,0,1,1,1
2020.05481,1,3,1,20.13698578,1,0,0,415.9766541,0.006361714564,4715.717285,1,10000,1.05903852,0,1,1,1,1,1,-1,0,0,1,1,5628.437012,0,1,1,1
2020.05481,1,4,1,20.13698578,0,0,0,535.399353,0.005630796775,5327.831055,1,10000,1.11021924,0,1,1,1,1,1,-1,0,0,1,1,6338.307129,0,1,1,1
2020.05481,1,5,1,20.13698578,0,0,0,317.2723083,0.004646109417,6457.034668,1,10000,1.013269067,0,1,1,1,1,1,-1,0,0,1,1,5273.487305,0,1,1,1
2020.05481,1,6,1,20.13698578,1,0,0,597.4873047,0.003725804621,8051.914551,1,10000,1.061167002,0,1,1,1,1,1,-1,0,0,1,1,5934.598145,0,1,1,1
2020.05481,1,7,1,20.13698578,1,0,0,131.6126709,0.009533503093,3146.793457,1,10000,1.155482054,0,1,1,1,1,1,-1,0,0,1,1,5756.597656,0,1,1,1
2020.05481,1,8,1,20.13698578,0,0,0,533.6268311,0.003529083915,8500.875,1,10000,1.426050067,0,1,1,1,1,1,-1,0,0,1,1,5891.137695,0,1,1,1
2020.05481,1,9,1,20.13698578,0,0,0,495.6164856,0.00329178106,9113.53125,1,10000,1.002231121,0,1,1,1,1,1,-1,0,0,1,1,6124.18457,0,1,1,1
2020.05481,1,10,1,20.13698578,1,0,0,661.3746338,0.007866985165,3813.398926,1,10000,1.265909195,0,1,1,1,1,1,-1,0,0,1,1,5610.117676,0,1,1,1
2020.05481,1,11,1,20.13698578,0,0,0,268.6534729,0.04338083416,691.5502319,1,10000,1.671946287,0,1,1,1,1,1,-1,0,0,1,1,5934.152832,0,1,1,1
2020.05481,1,12,1,20.13698578,0,0,0,365.9274597,0.0374314934,801.4627686,1,10000,1.030903578,0,1,1,1,1,1,-1,0,0,1,1,6107.547363,0,1,1,1
2020.05481,1,13,1,20.13698578,0,0,0,280.7921143,0.02565000392,1169.591797,1,10000,1.115987062,0,1,1,1,1,1,-1,0,0,1,1,5815.354004,0,1,1,1
2020.05481,1,14,1,20.13698578,0,0,0,535.394104,0.004837013781,6202.195801,1,10000,1.008629084,0,1,1,1,1,1,-1,0,0,1,1,6282.848145,0,1,1,1
2020.05481,1,15,1,20.13698578,0,0,0,351.0451355,0.009661412798,3105.152344,1,10000,1.054957747,0,1,1,1,1,1,-1,0,0,1,1,6228.766602,0,1,1,1
2020.05481,1,16,1,20.13698578,1,0,0,395.816803,0.007369224913,4070.964111,1,10000,1.077732801,0,1,1,1,1,1,-1,0,0,1,1,4745,0,1,1,1
2020.05481,1,17,1,20.13698578,0,0,0,633.1611328,0.01742427424,1721.733521,1,10000,1.085664392,0,1,1,1,1,1,-1,0,0,1,1,6193.540527,0,1,1,1
2020.05481,1,18,1,20.13698578,0,0,0,436.4689636,0.009434158914,3179.929443,1,10000,1.035270572,0,1,1,1,1,1,-1,0,0,1,1,5992.248047,0,1,1,1
2020.05481,1,19,1,20.13698578,1,0,0,553.3208008,0.007065521087,4245.962891,1,10000,1.018112063,0,1,1,1,1,1,-1,0,0,1,1,5562.230957,0,1,1,1
2020.05481,1,20,1,20.13698578,0,0,0,704.7979126,0.009333530441,3214.215576,1,10000,1.09021771,0,1,1,1,1,1,-1,0,0,1,1,6146.231445,0,1,1,1
2020.05481,1,21,1,20.13698578,1,0,0,583.3825073,0.005332963075,5625.394043,1,10000,1.06837821,0,1,1,1,1,1,-1,0,0,1,1,5541.816406,0,1,1,1
2020.05481,1,22,1,20.13698578,1,0,0,413.4162292,0.008147517219,3682.117432,1,10000,1.030667663,0,1,1,1,1,1,-1,0,0,1,1,5799.177246,0,1,1,1
2020.05481,1,23,1,20.13698578,1,0,0,544.0457764,0.003812108887,7869.658203,1,10000,1.015838146,0,1,1,1,1,1,-1,0,0,1,1,5748.418945,0,1,1,1
2020.05481,1,24,1,20.13698578,0,0,0,273.907959,0.00456032576,6578.437012,1,10000,1.022761583,0,1,1,1,1,1,-1,0,0,1,1,6086.916016,0,1,1,1
2020.05481,1,25,1,20.13698578,1,0,0,543.5614014,0.002815372543,10655.89551,1,10000,1.013697982,0,1,1,1,1,1,-1,0,0,1,1,5517.556641,0,1,1,1
2020.05481,1,26,1,20.13698578,1,0,0,393.0751953,0.006525118835,4597.62207,1,10000,1.068360925,0,1,1,1,1,1,-1,0,0,1,1,5787.172852,0,1,1,1
2020.05481,1,27,1,20.13698578,0,0,0,573.1602173,0.0502569899,596.9318848,1,10000,1.054705858,0,1,1,1,1,1,-1,0,0,1,1,5242.245117,0,1,1,1
2020.05481,1,28,1,20.13698578,1,0,0,773.0214233,0.008331188001,3600.93335,1,10000,1.174419403,0,1,1,1,1,1,-1,0,0,1,1,6033.698242,0,1,1,1
2020.05481,1,29,1,20.13698578,0,0,0,184.790451,0.006782876328,4422.883301,1,10000,1.045773983,0,1,1,1,1,1,-1,0,0,1,1,6352.388672,0,1,1,1
2020.05481,1,30,1,20.13698578,1,0,0,284.3665161,0.003925359808,7642.72168,1,10000,1.006684542,0,1,1,1,1,1,-1,0,0,1,1,5915.072266,0,1,1,1
2020.05481,1,31,1,20.13698578,0,0,0,346.2484436,0.004996300675,6004.384766,1,10000,1.020348787,0,1,1,1,1,1,-1,0,0,1,1,6399.663574,0,1,1,1
2020.05481,1,32,1,20.13698578,1,0,0,823.4951782,0.005274012685,5688.263672,1,10000,1.111028433,0,1,1,1,1,1,-1,0,0,1,1,5498.030273,0,1,1,1
2020.05481,1,33,1,20.13698578,1,0,0,414.8279114,0.01044600178,2871.923584,1,10000,1.060472012,0,1,1,1,1,1,-1,0,0,1,1,5330.769531,0,1,1,1
2020.05481,1,34,1,20.13698578,1,0,0,470.7376404,0.009180700406,3267.739258,1,10000,1.37827456,0,1,1,1,1,1,-1,0,0,1,1,6153.518066,0,1,1,1
