Time, NodeID, NumIndividuals, NumInfected,AvgParasiteDensity,AvgGametocyteDensity,NumInfections,NoMarkers,gm1,gm2,gm3,gm4,gm1-gm2,gm1-gm3,gm1-gm4,gm2-gm3,gm2-gm4,gm3-gm4,gm1-gm2-gm3,gm1-gm2-gm4,gm1-gm3-gm4,gm2-gm3-gm4,gm1-gm2-gm3-gm4
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
11,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
12,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
13,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
14,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
15,340461476,1000,41,0,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
16,340461476,1000,41,0.00061314,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
17,340461476,1000,41,0.000612873,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
18,340461476,1000,41,0.00973261,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
19,340461476,1000,41,0.00972838,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
20,340461476,1000,41,0.151396,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
21,340461476,1000,41,0.151331,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
22,340461476,1000,41,2.35499,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
23,340461476,1000,41,2.35397,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
24,340461476,1000,41,36.6311,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
25,340461476,1000,41,35.5608,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
26,340461476,1000,41,510.389,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
27,340461476,1000,41,338.563,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
28,340461476,1000,41,2723.72,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
29,340461476,1000,41,1214.02,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
30,340461476,1000,41,7194.03,0,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
31,340461476,1000,41,2073,0.00307629,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
32,340461476,1000,41,8325.74,0.00232939,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
33,340461476,1000,41,1856.04,0.0496182,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
34,340461476,1000,41,6026.48,0.0376,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
35,340461476,1000,41,1093.01,0.77285,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
36,340461476,1000,41,2949.53,0.585602,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
37,340461476,1000,41,468.714,10.8179,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
38,340461476,1000,41,1144.24,8.1973,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
39,340461476,1000,41,171.624,61.6097,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
40,340461476,1000,41,397.965,46.6875,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
41,340461476,1000,41,58.6207,181.773,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
42,340461476,1000,41,132.416,137.753,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
43,340461476,1000,41,19.207,273.877,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
44,340461476,1000,41,42.8133,207.557,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
45,340461476,1000,41,6.15089,280.004,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
46,340461476,1000,41,13.6199,212.205,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
47,340461476,1000,41,1.94726,220.888,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
48,340461476,1000,41,4.29716,167.405,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
49,340461476,1000,41,0.612837,150.175,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
50,340461476,1000,41,1.35033,113.814,41,0,11,16,10,4,0,0,0,0,0,0,0,0,0,0,0
51,340461476,1000,42,0.192341,94.3624,42,0,11,17,10,4,0,0,0,0,0,0,0,0,0,0,0
52,340461476,1000,43,0.423422,71.5151,43,0,12,17,10,4,0,0,0,0,0,0,0,0,0,0,0
53,340461476,1000,43,0.0602751,56.8966,43,0,12,17,10,4,0,0,0,0,0,0,0,0,0,0,0
54,340461476,1000,54,0.132685,43.1208,54,0,16,20,13,5,0,0,0,0,0,0,0,0,0,0,0
55,340461476,1000,54,0.0188742,33.5524,54,0,16,20,13,5,0,0,0,0,0,0,0,0,0,0,0
56,340461476,1000,56,0.0415474,25.4287,56,0,16,22,13,5,0,0,0,0,0,0,0,0,0,0,0
57,340461476,1000,58,0.00591133,19.5493,58,0,17,22,14,5,0,0,0,0,0,0,0,0,0,0,0
58,340461476,1000,59,0.01303,14.816,60,0,18,23,14,5,0,0,0,0,0,0,0,0,0,0,0
59,340461476,1000,60,0.00186801,11.3163,61,0,18,24,14,5,0,0,0,0,0,0,0,0,0,0,0
60,340461476,1000,66,0.00423553,8.57638,67,0,19,27,15,6,0,0,0,0,0,0,0,0,0,0,0
61,340461476,1000,70,0.00103041,6.52739,71,0,20,29,16,6,0,0,0,0,0,0,0,0,0,0,0
62,340461476,1000,79,0.00381228,4.94698,80,0,22,32,20,6,0,0,0,0,0,0,0,0,0,0,0
63,340461476,1000,88,0.00724684,3.75785,89,0,24,36,23,6,0,0,0,0,0,0,0,0,0,0,0
64,340461476,1000,91,0.0399582,2.84801,92,0,26,37,23,6,0,0,0,0,0,0,0,0,0,0,0
65,340461476,1000,102,0.110043,2.16114,104,0,31,42,23,8,0,0,0,0,0,0,0,0,0,0,0
66,340461476,1000,115,0.616232,1.63791,118,0,35,47,28,8,0,0,0,0,0,0,0,0,0,0,0
67,340461476,1000,121,1.71154,1.24218,125,0,38,49,29,9,0,0,0,0,0,0,0,0,0,0,0
68,340461476,1000,126,9.59409,0.941429,132,0,41,51,29,11,0,0,0,0,0,0,0,0,0,0,0
69,340461476,1000,130,25.1896,0.71376,137,0,42,54,30,11,0,0,0,0,0,0,0,0,0,0,0
70,340461476,1000,144,74.9608,0.540951,153,0,45,61,35,12,0,0,0,0,0,0,0,0,0,0,0
71,340461476,1000,150,217.15,0.410067,160,0,47,65,36,12,0,0,0,0,0,0,0,0,0,0,0
72,340461476,1000,155,295.106,0.310778,167,0,47,68,39,13,0,0,0,0,0,0,0,0,0,0,0
73,340461476,1000,171,959.766,0.235604,186,0,51,77,41,17,0,0,0,0,0,0,0,0,0,0,0
74,340461476,1000,175,630.904,0.178591,190,0,52,79,42,17,0,0,0,0,0,0,0,0,0,0,0
75,340461476,1000,187,2271.94,0.13607,206,0,55,86,46,19,0,0,0,0,0,0,0,0,0,0,0
76,340461476,1000,205,1009.04,0.10465,228,0,62,94,50,22,0,0,0,0,0,0,0,0,0,0,0
77,340461476,1000,216,2996.2,0.0903384,240,0,65,98,55,22,0,0,0,0,0,0,0,0,0,0,0
78,340461476,1000,223,1399.63,0.0901254,248,0,65,102,58,23,0,0,0,0,0,0,0,0,0,0,0
79,340461476,1000,238,3278.95,0.239261,269,0,68,113,61,27,0,0,0,0,0,0,0,0,0,0,0
80,340461476,1000,236,1927.85,0.543747,269,0,70,116,57,26,0,0,0,0,0,0,0,0,0,0,0
81,340461476,1000,247,3841.64,1.59504,285,0,74,120,63,28,0,0,0,0,0,0,0,0,0,0,0
82,340461476,1000,254,3078.35,5.06481,298,0,77,122,69,30,0,0,0,0,0,0,0,0,0,0,0
83,340461476,1000,263,4919.66,7.51596,312,0,84,123,74,31,0,0,0,0,0,0,0,0,0,0,0
84,340461476,1000,261,4876.65,24.0944,312,0,81,122,77,32,0,0,0,0,0,0,0,0,0,0,0
85,340461476,1000,270,6078.71,23.4178,325,0,83,131,79,32,0,0,0,0,0,0,0,0,0,0,0
86,340461476,1000,276,6503.25,62.5918,333,0,86,134,82,31,0,0,0,0,0,0,0,0,0,0,0
87,340461476,1000,279,7079.77,54.5308,343,0,87,140,83,33,0,0,0,0,0,0,0,0,0,0,0
88,340461476,1000,283,7140.45,100.03,353,0,89,147,83,34,0,0,0,0,0,0,0,0,0,0,0
89,340461476,1000,288,7499.79,89.1085,358,0,91,147,86,34,0,0,0,0,0,0,0,0,0,0,0
90,340461476,1000,298,7002.15,129.99,368,0,92,153,88,35,0,0,0,0,0,0,0,0,0,0,0
91,340461476,1000,302,7858.79,121.562,373,0,94,154,90,35,0,0,0,0,0,0,0,0,0,0,0
92,340461476,1000,304,7320.47,162.527,376,0,95,154,92,35,0,0,0,0,0,0,0,0,0,0,0
93,340461476,1000,305,8006.31,166.624,377,0,95,154,93,35,0,0,0,0,0,0,0,0,0,0,0
94,340461476,1000,308,8568.06,211.772,381,0,95,156,95,35,0,0,0,0,0,0,0,0,0,0,0
