Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
0,26,0,905,905,0,0,893,34300,0,0,0,95,0,0,0,0,2007.44,109.592,223.049,1,1,1
0,25,1,89,89,0,0,86,3100,26,1,0,7,4,0,0,0,967.231,53.3191,107.47,1,1,1
0,24,10,88,88,0,0,95,3200,2,0,0,9,3,0,0,0,634.482,33.8612,70.498,1,1,1
0,23,15,174,174,0,0,181,6400,2,0,0,17,9,0,0,0,824.213,45.021,91.5792,1,1,1
0,22,0,360,360,0,0,349,11600,0,0,0,40,0,0,0,0,988.479,53.9399,109.831,1,1,1
0,21,0,362,362,0,0,363,13000,0,0,0,38,0,0,0,0,1611.36,87.9995,179.04,1,1,1
0,20,10,93,93,0,0,88,3600,1,0,0,6,0,1,0,0,337.59,18.5369,37.51,1,1,1
0,19,10,84,84,0,0,94,2800,0,0,0,13,2,1,0,0,1675.34,91.3898,186.149,1,1,1
0,18,10,88,88,0,0,92,3300,2,0,0,9,3,0,0,0,575.184,31.533,63.9094,1,1,1
0,17,5,183,183,0,0,174,6500,9,0,0,14,3,0,0,0,2527.54,135.271,280.838,1,1,1
0,16,0,363,363,0,0,356,13200,0,0,0,37,0,0,0,0,117.478,6.43965,13.0531,1,1,1
0,15,5,85,85,0,0,95,4000,4,1,0,13,1,1,0,0,723.465,39.7662,80.385,1,1,1
0,14,0,92,92,0,0,88,3100,0,0,0,8,0,0,0,0,649.177,35.2191,72.1308,1,1,1
0,13,10,80,80,0,0,94,3600,1,0,0,16,4,0,0,0,4156.84,225.473,461.871,1,1,1
0,12,15,84,84,0,0,89,3900,0,0,0,10,5,1,0,0,412.812,22.2028,45.868,1,1,1
0,11,10,166,166,0,0,176,6900,4,0,0,25,9,0,0,0,423.977,22.8006,47.1086,1,1,1
0,10,10,38,38,0,0,44,1700,0,0,0,9,1,2,0,0,1349.19,71.9895,149.911,1,1,1
0,9,10,84,84,0,0,92,3200,2,0,0,11,5,0,0,0,3750.04,205.197,416.671,1,1,1
0,8,10,95,95,0,0,90,3100,0,0,0,4,0,1,0,0,2795.47,149.688,310.608,1,1,1
0,7,0,82,82,0,0,89,3300,0,0,0,18,0,0,0,0,51.6398,2.75988,5.73776,1,1,1
0,6,10,81,81,0,0,88,3100,1,0,0,14,4,1,0,0,463.946,25.8061,51.5495,1,1,1
0,5,15,43,43,0,0,46,2300,0,0,0,6,1,0,0,0,1317.34,72.4549,146.371,1,1,1
0,4,5,46,46,0,0,39,1400,0,1,0,3,0,1,0,0,707.81,39.0133,78.6455,1,1,1
0,3,1,92,92,0,0,93,3100,22,6,0,7,1,0,0,0,823.754,44.986,91.5282,1,1,1
0,2,10,89,89,0,0,93,3600,1,0,0,8,3,0,0,0,920.27,49.54,102.252,1,1,1
0,1,5,93,93,0,0,96,2900,4,0,0,7,0,0,0,0,522.973,28.7167,58.1081,1,1,1
1,26,0,819,819,0,0,796,29000,0,0,0,86,0,0,0,0,141.286,11.5825,17.9207,0.179236,0.0114158,0.0165221
1,25,1,85,85,0,0,79,2700,21,5,0,4,0,0,0,0,431.017,15.5918,19.3353,1,0.0410147,0.0977001
1,24,9,84,84,0,0,82,2900,1,0,0,4,0,0,0,0,663.238,32.0036,56.3598,1,0.0307829,0.0440612
1,23,14,147,147,0,0,161,7400,2,0,0,27,0,0,0,0,370.582,22.339,42.8425,0.515133,0.0173158,0.0416269
1,22,0,324,324,0,0,309,13400,0,0,0,36,0,0,0,0,123.369,8.28222,11.1521,0.290729,0.0131561,0.0267881
1,21,0,322,322,0,0,322,13000,0,0,0,40,0,0,0,0,461.255,24.5834,48.2506,0.41317,0.0244443,0.0325528
1,20,11,79,79,0,0,75,2700,1,0,0,14,0,0,0,0,185.13,11.8086,20.4589,0.241136,0.0205966,0.0288539
1,19,14,66,66,0,0,86,3800,0,0,0,18,0,0,0,0,4042.46,175.606,363.718,1,0.0913898,0.186149
1,18,9,74,74,0,0,87,2900,1,0,0,14,0,0,0,0,1184.63,67.8013,134.07,0.575184,0.0262775,0.0580994
1,17,5,155,155,0,0,150,6400,8,1,0,28,0,0,0,0,1140.9,52.9364,91.4334,1,0.0901804,0.100299
1,16,0,311,311,0,0,310,13500,0,0,0,52,0,0,0,0,831.957,45.5918,92.6619,0.0279709,0.00165119,0.00255943
1,15,7,79,79,0,0,81,2800,1,0,0,6,0,0,0,0,225.071,12.3288,24.119,0.556512,0.0331385,0.05359
1,14,0,79,79,0,0,80,2700,0,0,0,13,0,0,0,0,1759.02,94.1607,190.336,0.721308,0.0391324,0.0554852
1,13,8,72,72,0,0,84,2500,1,0,0,8,0,0,0,0,4167.26,84.3103,156.251,1,0.204975,0.355286
1,12,16,75,75,0,0,76,3500,1,0,0,9,0,0,0,0,452.831,22.6946,48.5367,0.34401,0.0158592,0.0352831
1,11,9,146,146,0,0,163,5800,3,0,0,20,0,0,0,0,343.043,20.6198,37.0048,0.192717,0.0120003,0.0168245
1,10,10,31,31,0,0,39,1100,0,0,0,7,0,0,0,0,2026.57,71.8509,128.397,1,0.143979,0.187388
1,9,11,80,80,0,0,80,2100,0,0,0,4,0,0,0,0,3142.58,17.356,35.9538,1,0.186542,0.277781
1,8,8,86,86,0,0,78,4000,3,0,0,9,0,0,0,0,2942.13,71.1262,145.459,1,0.149688,0.282371
1,7,0,75,75,0,0,72,3300,0,0,0,7,0,0,0,0,214.385,12.245,24.4872,0.0516398,0.00250898,0.00478147
1,6,10,70,70,0,0,82,3700,2,0,0,11,0,0,0,0,1006.57,55.8452,111.73,0.579932,0.0286734,0.0368211
1,5,16,33,33,0,0,42,800,0,0,0,10,0,0,0,0,573.485,11.291,9.27611,1,0.0905686,0.209102
1,4,6,39,39,0,0,32,1400,1,0,0,7,0,0,0,0,385.937,22.7903,42.5486,1,0.0975332,0.262152
1,3,0,80,80,0,0,82,3000,0,0,0,12,0,0,0,0,1227.7,72.2543,140.077,0.588396,0.0749766,0.0832075
1,2,8,82,82,0,0,81,2900,1,0,0,7,0,0,0,0,845.464,44.6149,90.2738,0.575169,0.0825667,0.0730373
1,1,5,80,80,0,0,85,3200,3,0,0,13,0,0,0,0,94.5185,7.56274,10.5021,0.581081,0.0574334,0.0387387
2,26,0,729,729,0,0,719,28300,0,0,0,90,0,0,0,0,531.089,27.2435,53.5655,0.0164286,0.00133132,0.00153168
2,25,1,72,72,0,0,68,3300,23,1,0,13,0,0,0,0,1941.43,106.762,212.715,0.431017,0.022274,0.0193353
2,24,12,75,75,0,0,75,2900,0,0,0,9,0,0,0,0,472.022,31.3329,52.0024,0.736931,0.0533393,0.040257
2,23,13,141,141,0,0,146,4100,1,0,0,6,0,0,0,0,409.39,24.991,36.3766,0.132351,0.0139619,0.0142808
2,22,0,287,287,0,0,272,11500,0,0,0,37,0,0,0,0,881.648,47.5101,97.2943,0.0300899,0.00202005,0.00214463
2,21,0,293,293,0,0,293,10100,0,0,0,29,0,0,0,0,317.109,24.1863,30.901,0.107269,0.00646932,0.00984706
2,20,10,69,69,0,0,71,3000,1,0,0,10,0,0,0,0,426.21,24.6479,53.69,0.231413,0.019681,0.0157376
2,19,7,58,58,0,0,81,2100,1,0,0,8,0,0,0,0,4352.71,97.144,196.856,1,0.159642,0.227324
2,18,10,70,70,0,0,82,2600,1,0,0,4,0,0,0,0,1107.13,39.7206,72.0146,1,0.0968591,0.0893798
2,17,5,145,145,0,0,132,5400,8,1,0,10,0,0,0,0,338.881,28.1355,40.5423,0.57045,0.0278612,0.0365734
2,16,0,271,271,0,0,281,9100,0,0,0,40,0,0,0,0,252.539,13.7859,28.8377,0.237702,0.0103618,0.0165468
2,15,7,74,74,0,0,71,2100,2,0,0,5,0,0,0,0,577.661,34.5476,63.7401,0.32153,0.0176125,0.0172279
2,14,0,74,74,0,0,68,3100,0,0,0,5,0,0,0,0,1509.84,29.7285,64.5378,1,0.134515,0.146412
2,13,8,59,59,0,0,74,2400,0,0,0,13,0,0,0,0,3940.56,54.0893,99.8401,1,0.168621,0.130209
2,12,15,67,67,0,0,66,1700,0,0,0,8,0,0,0,0,630.615,37.924,69.1795,0.503145,0.0283682,0.0269649
2,11,8,128,128,0,0,142,5200,3,0,0,18,0,0,0,0,680.597,42.8333,71.6219,0.245031,0.0103099,0.0154187
2,10,10,29,29,0,0,34,1200,0,0,0,2,0,0,0,0,2119.12,19.4467,33.9018,1,0.179627,0.183424
2,9,14,73,73,0,0,73,3400,1,0,0,7,0,0,0,0,2203.82,7.47665,14.7578,1,0.034712,0.0513626
2,8,10,78,78,0,0,72,2100,0,0,0,8,0,0,0,0,2993.36,76.3134,154.818,1,0.0508045,0.0969724
2,7,0,67,67,0,0,64,1900,0,0,0,8,0,0,0,0,561.426,29.9632,60.3806,0.153132,0.0174929,0.020406
2,6,12,65,65,0,0,72,2200,0,0,0,5,0,0,0,0,1170.81,48.0208,107.756,1,0.0465377,0.0620721
2,5,14,29,29,0,0,38,1200,0,0,0,4,0,0,0,0,415.738,3.8074,11.3043,1,0.056455,0.0231903
2,4,6,34,34,0,0,27,1800,1,0,0,5,0,0,0,0,1138.59,60.215,119.621,1,0.0325575,0.106371
2,3,1,69,69,0,0,75,3000,23,3,0,11,0,0,0,0,2599.83,109.886,229.425,1,0.0602119,0.116731
2,2,7,69,69,0,0,74,3100,2,0,0,13,0,0,0,0,715.158,39.8693,60.0175,1,0.0557686,0.0644813
