Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,0,326,0,0,0,19,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,297,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,286,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,265,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,303,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,277,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,258,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,248,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,192,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,245,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,198,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,195,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,175,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,196,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,200,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,170,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,146,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,151,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,172,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,164,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,152,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,127,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,152,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,138,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,138,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,129,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,134,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,123,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,120,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,112,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,109,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,107,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,92,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,111,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,110,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,100,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,92,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,87,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,85,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,70,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,105,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,91,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,85,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,66,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,48,61,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0
