Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,6,457.272,0,1,1,1738,1,0,21.8371,1,1,0,0,0,1,1,0,0,0,0,5270,0,1,81.9209,1,1,0,0,0,1,1,0,0,0,0
2,6,114.647,0,1,1,2382,0,0,21.7597,1,1,0,0,0,1,1,0,0,0,0,5402,0,1,71.3915,1,1,0,0,0,1,1,0,0,0,0
3,6,66.5646,0,1,1,3695,0,0,71.1219,1,1,0,0,0,1,1,0,0,0,0,2034,0,1,25.8717,1,1,0,0,0,1,1,0,0,0,0
4,6,215.338,0,1,1,5412,0,0,63.6038,1,1,0,0,0,1,1,0,0,0,0,2844,0,1,15.6624,1,1,0,0,0,1,1,0,0,0,0
5,6,187.845,0,1,1,5794,0,0,30.9863,1,1,0,0,0,1,1,0,0,0,0,7887,0,1,63.3719,1,1,0,0,0,1,1,0,0,0,0
6,6,822.917,0,1,1,6199,0,0,27.2846,1,1,0,0,0,1,1,0,0,0,0,11028,0,1,58.1907,1,1,0,0,0,1,1,0,0,0,0
7,6,169.617,0,1,1,7790,0,0,43.2033,1,1,0,0,0,1,1,0,0,0,0,13754,0,1,59.8981,1,1,0,0,0,1,1,0,0,0,0
8,6,437.071,0,1,1,8893,0,0,55.968,1,1,0,0,0,1,1,0,0,0,0,8205,0,1,29.3978,1,1,0,0,0,1,1,0,0,0,0
9,6,768.949,0,1,1,9062,1,0,29.1241,1,1,0,0,0,1,1,0,0,0,0,15370,0,1,51.0414,1,1,0,0,0,1,1,0,0,0,0
10,6,182.641,0,1,1,10268,0,0,54.5305,1,1,0,0,0,1,1,0,0,0,0,13346,0,1,34.3503,1,1,0,0,0,1,1,0,0,0,0
11,6,318.781,0,1,1,11942,0,0,75.2557,1,1,0,0,0,1,1,0,0,0,0,13494,0,1,21.2498,1,1,0,0,0,1,1,0,0,0,0
12,6,589.795,0,1,1,12326,0,0,51.1455,1,1,0,0,0,1,1,0,0,0,0,16580,0,1,41.7562,1,1,0,0,0,1,1,0,0,0,0
13,6,625.371,0,1,1,12517,0,0,22.5905,1,1,0,0,0,1,1,0,0,0,0,5440,0,1,61.5123,1,1,0,0,0,1,1,0,0,0,0
14,6,139.394,0,1,1,12790,0,0,23.3218,1,1,0,0,0,1,1,0,0,0,0,11057,0,1,70.7786,1,1,0,0,0,1,1,0,0,0,0
15,6,426.783,0,1,1,14446,0,0,53.9591,1,1,0,0,0,1,1,0,0,0,0,8842,0,1,17.6477,1,1,0,0,0,1,1,0,0,0,0
16,6,282.357,0,1,1,648,0,0,26.8467,1,1,0,0,0,1,1,0,0,0,0,12370,0,1,72.7952,1,1,0,0,0,1,1,0,0,0,0
17,6,679.458,0,1,1,1605,0,0,28.6048,1,1,0,0,0,1,1,0,0,0,0,13105,0,1,74.1785,1,1,0,0,0,1,1,0,0,0,0
18,6,473.023,0,1,1,3245,0,0,36.9142,1,1,0,0,0,1,1,0,0,0,0,15395,0,1,50.2611,1,1,0,0,0,1,1,0,0,0,0
19,6,249.761,0,1,1,4923,1,0,33.1774,1,1,0,0,0,1,1,0,0,0,0,15766,0,1,51.7714,1,1,0,0,0,1,1,0,0,0,0
