SIM_TIME,YEAR,NODE_ID,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMCISED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,SRC_Accessibility,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMCISED,DEST_STI,DEST_SUPERSPREADER,DEST_Accessibility
27,1960.57,4,203,1,0,14645.5,2,3,3,7,0,0,0,-42,Yes,899,1,1,16090.5,2,2,2,7,0,0,0,No
27,1960.57,3,144,1,1,6089.52,1,1,1,7,0,0,0,-42,Yes,352,1,0,7197.99,1,1,1,7,0,0,0,Yes
27,1960.57,3,1380,1,1,8008.4,7,9,9,7,0,0,0,-42,Yes,851,1,0,9406.67,3,5,5,7,0,0,0,No
27,1960.57,1,530,1,0,10496.4,2,2,2,7,0,0,0,-42,Yes,1242,1,1,8459.52,1,2,2,7,0,0,0,No
28,1960.58,2,783,1,0,6067.26,1,1,1,7,0,0,0,-42,Yes,919,1,1,6096.85,1,1,1,7,0,0,0,Yes
28,1960.58,1,826,1,0,7211.56,1,1,1,7,0,0,0,-42,No,798,1,1,8181.91,3,8,8,7,0,0,0,Yes
29,1960.58,3,637,1,1,15777.9,1,1,1,7,0,0,0,-42,Yes,669,1,0,20194.8,1,1,1,7,0,0,0,Yes
29,1960.58,3,1222,1,0,6565.6,1,1,1,7,0,0,0,-42,No,1170,1,1,6186.99,1,1,1,7,0,0,0,Yes
29,1960.58,2,1212,0,0,7922.23,2,3,3,7,0,0,0,-42,Yes,915,1,1,8200.22,2,3,3,7,0,0,0,Yes
30,1960.58,3,991,1,1,8939.02,2,3,3,7,0,0,0,-42,Yes,831,1,0,11230,1,1,1,7,0,0,0,Yes
30,1960.58,1,770,1,0,8883.05,1,1,1,7,0,0,0,-42,Yes,970,1,1,8163.58,1,1,1,7,0,0,0,Yes
31,1960.58,4,122,1,0,8920.61,7,10,10,7,0,0,0,-42,No,665,1,1,7365.3,2,2,2,7,0,0,0,Yes
31,1960.58,3,1073,1,1,8285.84,2,2,2,7,0,0,0,-42,Yes,135,1,0,7613.94,2,4,4,7,0,0,0,No
32,1960.59,1,530,1,0,10501.4,2,2,2,7,0,0,0,-42,Yes,276,1,1,10548.8,1,1,1,7,0,0,0,Yes
32,1960.59,1,1286,1,0,7132.92,3,3,3,7,0,0,0,-42,Yes,1316,1,1,6796.55,4,4,4,7,0,0,0,Yes
33,1960.59,3,1084,1,0,8193.63,1,1,1,7,0,0,0,-42,Yes,816,1,1,6044.77,1,1,1,7,0,0,0,Yes
33,1960.59,2,547,1,0,8960.77,2,4,4,7,0,0,0,-42,Yes,77,1,1,6108.45,2,3,3,7,0,0,0,Yes
33,1960.59,2,915,1,1,8203.22,2,3,3,7,0,0,0,-42,Yes,1212,1,0,7926.23,1,3,3,7,0,0,0,Yes
33,1960.59,2,919,1,1,6100.85,1,1,1,7,0,0,0,-42,Yes,783,1,0,6072.26,1,1,1,7,0,0,0,Yes
33,1960.59,1,1286,1,0,7133.92,3,3,3,7,0,0,0,-42,Yes,1042,1,1,5465.29,7,7,7,7,0,0,0,Yes
34,1960.59,1,1042,1,1,5465.29,8,8,8,7,0,0,0,-42,Yes,529,1,0,17431.7,1,2,2,7,0,0,0,Yes
35,1960.6,4,122,1,0,8924.61,7,10,10,7,0,0,0,-42,No,872,1,1,6412.49,3,5,5,7,0,0,0,Yes
35,1960.6,1,1316,1,1,6799.55,4,4,4,7,0,0,0,-42,Yes,591,1,0,9023.31,2,4,4,7,0,0,0,Yes
35,1960.6,1,1042,1,1,5467.29,8,8,8,7,0,0,0,-42,Yes,1286,1,0,7136.92,3,3,3,7,0,0,0,Yes
36,1960.6,3,851,1,0,9415.67,3,5,5,7,0,0,0,-42,No,991,1,1,8945.02,3,4,4,7,0,0,0,Yes
36,1960.6,3,1380,1,1,8017.4,6,11,11,7,0,0,0,-42,Yes,563,1,0,6557.11,2,3,3,7,0,0,0,No
36,1960.6,1,1316,1,1,6799.55,5,5,5,7,0,0,0,-42,Yes,171,1,0,7047.06,1,1,1,7,0,0,0,Yes
39,1960.61,4,872,1,1,6415.49,3,5,5,7,0,0,0,-42,Yes,937,1,0,8080.44,2,3,3,7,0,0,0,Yes
40,1960.61,4,1363,0,0,7245.15,1,2,2,7,0,0,0,-42,Yes,755,1,1,5960.17,1,1,1,7,0,0,0,Yes
40,1960.61,3,352,1,0,7209.99,1,1,1,7,0,0,0,-42,Yes,144,1,1,6102.52,1,1,1,7,0,0,0,Yes
40,1960.61,1,191,1,1,5920.71,2,3,3,7,0,0,0,-42,Yes,356,1,0,7235.35,1,2,2,7,0,0,0,Yes
41,1960.61,3,563,1,0,6561.11,3,4,4,7,0,0,0,-42,No,115,1,1,7031.83,1,2,2,7,0,0,0,No
42,1960.62,2,547,1,0,8969.77,2,4,4,7,0,0,0,-42,Yes,77,1,1,6117.45,2,3,3,7,0,0,0,Yes
42,1960.62,1,1286,1,0,7142.92,3,3,3,7,0,0,0,-42,Yes,1316,1,1,6806.55,5,5,5,7,0,0,0,Yes
43,1960.62,4,122,1,0,8931.61,7,10,10,7,0,0,0,-42,No,809,1,1,7898.84,3,4,4,7,0,0,0,No
43,1960.62,1,1042,1,1,5474.29,8,8,8,7,0,0,0,-42,Yes,128,1,0,9342.34,3,4,4,7,0,0,0,Yes
45,1960.62,3,991,1,1,8953.02,6,7,7,7,0,0,0,-42,Yes,530,1,0,10514.4,2,3,3,7,0,0,0,Yes
46,1960.63,3,991,1,1,8955.02,6,7,7,7,0,0,0,-42,Yes,1055,1,0,10894.4,2,4,4,7,0,0,0,Yes
47,1960.63,1,1114,1,0,8160.82,1,1,1,7,0,0,0,-42,Yes,191,1,1,5928.71,2,3,3,7,0,0,0,Yes
48,1960.63,2,77,1,1,6123.45,2,3,3,7,0,0,0,-42,Yes,607,1,0,7753.4,2,3,3,7,0,0,0,Yes
49,1960.63,4,122,1,0,8937.61,7,10,10,7,0,0,0,-42,No,809,1,1,7904.84,3,4,4,7,0,0,0,No
49,1960.63,2,607,1,0,7753.4,2,3,3,7,0,0,0,-42,Yes,470,1,1,6845.55,3,4,4,7,0,0,0,No
56,1960.65,4,122,1,0,8945.61,7,10,10,7,0,0,0,-42,No,1037,1,1,5341.07,2,2,2,7,0,0,0,Yes
61,1960.67,4,122,1,0,8950.61,7,10,10,7,0,0,0,-42,No,665,1,1,7395.3,2,2,2,7,0,0,0,Yes
65,1960.68,4,665,1,1,7398.3,2,2,2,7,0,0,0,-42,Yes,122,1,0,8954.61,7,10,10,7,0,0,0,No
66,1960.68,4,122,1,0,8955.61,7,10,10,7,0,0,0,-42,No,665,1,1,7400.3,2,2,2,7,0,0,0,Yes
69,1960.69,4,122,1,0,8958.61,6,10,10,7,0,0,0,-42,No,1366,1,1,7316.57,3,3,3,7,0,0,0,Yes
71,1960.69,1,665,1,1,7405.3,2,3,3,7,0,0,0,-42,Yes,1077,1,0,7089.91,1,2,2,7,0,0,0,No
74,1960.7,4,470,1,1,6870.55,2,5,5,7,0,0,0,-42,No,1086,1,0,6874.14,2,2,2,7,0,0,0,Yes
76,1960.71,2,470,1,1,6871.55,2,6,6,7,0,0,0,-42,No,42,1,0,6147.06,1,4,4,7,0,0,0,Yes
78,1960.71,4,1366,1,1,7324.57,3,3,3,7,0,0,0,-42,Yes,122,1,0,8967.61,6,10,10,7,0,0,0,No
80,1960.72,4,122,1,0,8969.61,5,10,10,7,0,0,0,-42,No,1037,1,1,5365.07,3,3,3,7,0,0,0,Yes
81,1960.72,4,1037,1,1,5365.07,3,3,3,7,0,0,0,-42,Yes,937,1,0,8122.44,7,8,8,7,0,0,0,Yes
81,1960.72,2,42,1,0,6151.06,1,4,4,7,0,0,0,-42,Yes,470,1,1,6877.55,2,6,6,7,0,0,0,No
83,1960.73,4,937,1,0,8124.44,7,8,8,7,0,0,0,-42,Yes,1042,1,1,5515.29,6,12,12,7,0,0,0,Yes
88,1960.74,4,122,1,0,8976.61,6,11,11,7,0,0,0,-42,No,1347,1,1,7648.22,2,4,4,7,0,0,0,Yes
94,1960.76,4,122,0,0,8983.61,6,11,11,7,0,0,0,-42,No,1366,1,1,7341.57,3,3,3,7,0,0,0,Yes
