SIM_TIME,YEAR,NODE_ID,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMCISED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,SRC_Accessibility,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMCISED,DEST_STI,DEST_SUPERSPREADER,DEST_Accessibility
3,1960.51,2,1235,1,1,10857.8,1,1,1,7,0,0,0,-42,Yes,547,1,0,8931.77,2,2,2,7,0,0,0,Yes
3,1960.51,1,1290,1,0,10602.3,1,1,1,7,0,0,0,-42,Yes,526,1,1,11149.9,1,1,1,7,0,0,0,Yes
4,1960.51,4,1204,1,1,15207.5,1,1,1,7,0,0,0,-42,Yes,404,1,0,14912.9,1,1,1,7,0,0,0,No
5,1960.51,4,29,1,1,11610.6,2,2,2,7,0,0,0,-42,Yes,861,1,0,13669.5,2,2,2,7,0,0,0,Yes
5,1960.51,4,109,1,0,9964.98,2,2,2,7,0,0,0,-42,No,925,1,1,8308.67,1,2,2,7,0,0,0,Yes
5,1960.51,3,460,1,1,13645.9,2,2,2,7,0,0,0,-42,Yes,1224,1,0,14044,1,1,1,7,0,0,0,Yes
5,1960.51,3,348,1,0,7802.53,3,3,3,7,0,0,0,-42,Yes,1296,1,1,6787.68,1,2,2,7,0,0,0,Yes
5,1960.51,2,983,1,0,7528.32,2,2,2,7,0,0,0,-42,Yes,787,1,1,7290.65,1,1,1,7,0,0,0,No
5,1960.51,1,591,1,0,8992.31,1,1,1,7,0,0,0,-42,Yes,286,1,1,7797.21,3,4,4,7,0,0,0,Yes
6,1960.52,4,1149,1,0,7863.1,1,1,1,7,0,0,0,-42,Yes,809,1,1,7861.84,1,1,1,7,0,0,0,No
6,1960.52,4,657,1,0,16964,1,1,1,7,0,0,0,-42,Yes,1129,1,1,12152.3,1,1,1,7,0,0,0,Yes
6,1960.52,3,352,1,0,7175.99,1,1,1,7,0,0,0,-42,Yes,144,1,1,6068.52,1,1,1,7,0,0,0,Yes
6,1960.52,3,1108,1,1,16502.6,1,1,1,7,0,0,0,-42,Yes,176,1,0,19190.6,1,1,1,7,0,0,0,Yes
6,1960.52,3,1088,1,1,8232.51,1,1,1,7,0,0,0,-42,No,432,1,0,6227.36,1,1,1,7,0,0,0,Yes
7,1960.52,3,872,1,1,6384.49,1,1,1,7,0,0,0,-42,Yes,1272,1,0,7878.27,1,1,1,7,0,0,0,Yes
7,1960.52,2,411,1,0,10427,1,1,1,7,0,0,0,-42,Yes,1315,1,1,8472.65,2,2,2,7,0,0,0,Yes
8,1960.52,4,313,1,0,7602.47,1,1,1,7,0,0,0,-42,Yes,633,1,1,8066.69,1,1,1,7,0,0,0,Yes
8,1960.52,4,129,1,1,6100.83,1,1,1,7,0,0,0,-42,Yes,1065,1,0,5535.52,2,2,2,7,0,0,0,Yes
8,1960.52,2,1195,1,0,16156.6,1,1,1,7,0,0,0,-42,No,463,1,1,10053.2,2,2,2,7,0,0,0,Yes
8,1960.52,2,631,1,1,26555.9,1,1,1,7,0,0,0,-42,No,963,1,0,27873.1,1,1,1,7,0,0,0,Yes
8,1960.52,2,159,1,0,18074.8,2,2,2,7,0,0,0,-42,Yes,1083,1,1,13192.8,1,1,1,7,0,0,0,Yes
9,1960.52,4,13,1,1,6977.43,1,1,1,7,0,0,0,-42,Yes,981,1,0,8316.71,1,1,1,7,0,0,0,Yes
9,1960.52,3,1124,1,1,10330.6,1,1,1,7,0,0,0,-42,Yes,636,1,0,9320.76,2,2,2,7,0,0,0,Yes
9,1960.52,2,19,1,0,11758,1,1,1,7,0,0,0,-42,Yes,147,1,1,7265.4,1,1,1,7,0,0,0,Yes
9,1960.52,1,591,1,0,8996.31,1,1,1,7,0,0,0,-42,Yes,286,1,1,7801.21,2,4,4,7,0,0,0,Yes
9,1960.52,1,426,1,0,10006.5,1,1,1,7,0,0,0,-42,Yes,326,1,1,5944.49,1,1,1,7,0,0,0,No
9,1960.52,1,276,1,1,10524.8,1,1,1,7,0,0,0,-42,Yes,530,1,0,10478.4,2,2,2,7,0,0,0,Yes
10,1960.53,4,121,1,1,12705.9,2,2,2,7,0,0,0,-42,No,1023,1,0,15018.7,3,3,3,7,0,0,0,Yes
10,1960.53,3,669,1,0,20174.8,1,1,1,7,0,0,0,-42,Yes,637,1,1,15758.9,1,1,1,7,0,0,0,Yes
10,1960.53,3,296,1,0,6729.05,1,1,1,7,0,0,0,-42,Yes,1380,1,1,7991.4,5,5,5,7,0,0,0,Yes
11,1960.53,3,64,0,0,6373.75,1,1,1,7,0,0,0,-42,Yes,324,1,1,7125.14,1,1,1,7,0,0,0,Yes
11,1960.53,3,1380,1,1,7992.4,4,5,5,7,0,0,0,-42,Yes,348,1,0,7808.53,3,3,3,7,0,0,0,Yes
11,1960.53,3,416,1,1,5229.98,1,2,2,7,0,0,0,-42,Yes,1104,1,0,7031.92,2,3,3,7,0,0,0,Yes
11,1960.53,2,703,1,0,8186.53,2,2,2,7,0,0,0,-42,Yes,331,1,1,5397.91,1,1,1,7,0,0,0,Yes
11,1960.53,2,971,1,0,13227.6,1,1,1,7,0,0,0,-42,Yes,1223,1,1,8412.11,3,3,3,7,0,0,0,No
11,1960.53,1,1218,1,0,9989.84,3,3,3,7,0,0,0,-42,Yes,154,1,1,6095.88,1,1,1,7,0,0,0,Yes
11,1960.53,1,647,1,1,8170.47,3,4,4,7,0,0,0,-42,Yes,862,1,0,10102.7,1,1,1,7,0,0,0,Yes
12,1960.53,3,721,1,0,6752.92,1,2,2,7,0,0,0,-42,No,248,1,1,6974.16,1,1,1,7,0,0,0,Yes
12,1960.53,3,1328,1,0,7035.12,1,1,1,7,0,0,0,-42,Yes,645,1,1,6180.32,2,3,3,7,0,0,0,Yes
12,1960.53,3,1104,1,0,7031.92,2,3,3,7,0,0,0,-42,Yes,608,1,1,9456.43,2,2,2,7,0,0,0,Yes
12,1960.53,3,1084,1,0,8172.63,1,1,1,7,0,0,0,-42,Yes,816,1,1,6023.77,1,1,1,7,0,0,0,Yes
12,1960.53,3,348,1,0,7809.53,3,3,3,7,0,0,0,-42,Yes,1304,1,1,6619.96,2,2,2,7,0,0,0,Yes
13,1960.54,4,189,1,0,20283.2,2,2,2,7,0,0,0,-42,Yes,1017,1,1,18289.1,1,2,2,7,0,0,0,Yes
13,1960.54,4,497,0,0,21860.3,1,1,1,7,0,0,0,-42,Yes,806,1,1,21953.6,1,1,1,7,0,0,0,Yes
13,1960.54,2,759,1,1,16926.2,1,1,1,7,0,0,0,-42,No,163,1,0,15842.7,1,1,1,7,0,0,0,Yes
13,1960.54,1,1142,1,0,11031.7,2,2,2,7,0,0,0,-42,No,542,1,1,9746.64,3,4,4,7,0,0,0,Yes
13,1960.54,1,1181,1,0,10123.2,1,2,2,7,0,0,0,-42,Yes,1022,1,1,10151.6,1,1,1,7,0,0,0,No
14,1960.54,4,366,1,1,19466.2,1,1,1,7,0,0,0,-42,Yes,498,1,0,21332.9,1,1,1,7,0,0,0,Yes
14,1960.54,4,1149,1,0,7871.1,1,1,1,7,0,0,0,-42,Yes,809,1,1,7869.84,1,1,1,7,0,0,0,No
14,1960.54,4,755,1,1,5933.17,1,1,1,7,0,0,0,-42,Yes,1363,1,0,7219.15,1,2,2,7,0,0,0,Yes
14,1960.54,3,888,1,0,8414.94,3,4,4,7,0,0,0,-42,Yes,476,1,1,5902.66,2,3,3,7,0,0,0,No
14,1960.54,2,207,1,0,6941.91,1,1,1,7,0,0,0,-42,Yes,1087,1,1,6066.1,2,2,2,7,0,0,0,Yes
15,1960.54,4,313,1,0,7609.47,1,1,1,7,0,0,0,-42,Yes,633,1,1,8073.69,1,1,1,7,0,0,0,Yes
15,1960.54,1,276,1,1,10530.8,1,1,1,7,0,0,0,-42,Yes,530,1,0,10484.4,2,2,2,7,0,0,0,Yes
16,1960.54,3,637,1,1,15764.9,1,1,1,7,0,0,0,-42,Yes,669,1,0,20181.8,1,1,1,7,0,0,0,Yes
16,1960.54,3,713,1,1,12696.8,1,1,1,7,0,0,0,-42,Yes,141,1,0,12217.6,1,1,1,7,0,0,0,Yes
16,1960.54,2,935,1,0,11115.9,1,1,1,7,0,0,0,-42,Yes,179,1,1,9715.51,4,5,5,7,0,0,0,Yes
16,1960.54,2,703,1,0,8192.53,2,2,2,7,0,0,0,-42,Yes,991,1,1,8925.02,3,3,3,7,0,0,0,Yes
17,1960.55,4,1314,1,1,8557.01,1,1,1,7,0,0,0,-42,No,250,1,0,10744.9,1,3,3,7,0,0,0,No
17,1960.55,3,135,1,0,7598.94,2,4,4,7,0,0,0,-42,No,1073,1,1,8271.84,2,2,2,7,0,0,0,Yes
17,1960.55,1,54,1,0,20122.4,1,1,1,7,0,0,0,-42,Yes,130,1,1,14842.6,1,1,1,7,0,0,0,Yes
18,1960.55,4,981,1,0,8324.71,1,1,1,7,0,0,0,-42,Yes,13,1,1,6986.43,1,1,1,7,0,0,0,Yes
18,1960.55,4,286,1,1,7810.21,2,7,7,7,0,0,0,-42,Yes,1233,1,0,6819.85,1,1,1,7,0,0,0,Yes
18,1960.55,3,416,1,1,5235.98,2,3,3,7,0,0,0,-42,Yes,1295,1,0,6288.8,1,2,2,7,0,0,0,Yes
18,1960.55,2,411,1,0,10438,1,1,1,7,0,0,0,-42,Yes,1315,1,1,8483.65,2,2,2,7,0,0,0,Yes
18,1960.55,2,723,1,0,15017.3,1,1,1,7,0,0,0,-42,Yes,1247,1,1,13598.1,3,3,3,7,0,0,0,Yes
18,1960.55,1,182,1,0,13202.6,1,1,1,7,0,0,0,-42,Yes,94,1,1,10663.9,2,2,2,7,0,0,0,Yes
19,1960.55,4,857,1,0,8409.5,1,1,1,7,0,0,0,-42,Yes,197,1,1,8748.55,1,1,1,7,0,0,0,No
20,1960.55,4,1223,1,1,8420.11,2,4,4,7,0,0,0,-42,No,1015,1,0,9449.6,1,2,2,7,0,0,0,Yes
20,1960.55,3,1084,1,0,8180.63,1,1,1,7,0,0,0,-42,Yes,816,1,1,6031.77,1,1,1,7,0,0,0,Yes
21,1960.56,2,1235,1,1,10875.8,1,1,1,7,0,0,0,-42,Yes,547,1,0,8949.77,2,2,2,7,0,0,0,Yes
21,1960.56,2,1097,1,0,18762.2,1,1,1,7,0,0,0,-42,Yes,709,1,1,13794.9,1,1,1,7,0,0,0,Yes
21,1960.56,2,1145,1,0,8573.62,1,3,3,7,0,0,0,-42,Yes,326,1,1,5956.49,1,2,2,7,0,0,0,No
22,1960.56,4,1345,1,1,17564.7,2,2,2,7,0,0,0,-42,Yes,225,1,0,19017,2,2,2,7,0,0,0,No
23,1960.56,4,1363,1,0,7228.15,1,2,2,7,0,0,0,-42,Yes,755,1,1,5943.17,1,1,1,7,0,0,0,Yes
24,1960.57,2,1315,1,1,8488.65,2,2,2,7,0,0,0,-42,Yes,7,1,0,12186.5,1,1,1,7,0,0,0,Yes
24,1960.57,1,356,0,0,7219.35,1,2,2,7,0,0,0,-42,Yes,191,1,1,5905.71,2,3,3,7,0,0,0,Yes
25,1960.57,4,1366,1,1,7271.57,1,1,1,7,0,0,0,-42,Yes,122,1,0,8914.61,5,8,8,7,0,0,0,No
26,1960.57,3,1239,1,1,13014,1,2,2,7,0,0,0,-42,Yes,1356,1,0,14806.4,2,3,3,7,0,0,0,No
26,1960.57,1,191,1,1,5907.71,2,3,3,7,0,0,0,-42,Yes,1114,1,0,8140.82,1,1,1,7,0,0,0,Yes
27,1960.57,4,122,1,0,8916.61,5,8,8,7,0,0,0,-42,No,1037,1,1,5312.07,2,2,2,7,0,0,0,Yes
