SIM_TIME,YEAR,NODE_ID,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMCISED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMCISED,DEST_STI,DEST_SUPERSPREADER
1,1960.5,1,5790,1,1,5498.49,1,1,1,0,0,0,0,-42,1222,1,0,9196.54,1,1,1,0,0,0,0
1,1960.5,1,14713,1,1,6952.39,1,1,1,0,0,0,0,-42,1899,1,0,9552.42,1,1,1,0,0,0,0
1,1960.5,1,3165,1,1,6937.04,1,1,1,0,0,0,0,-42,5029,1,0,10316.6,1,1,1,0,0,0,0
1,1960.5,1,12235,1,1,5982.16,1,1,1,0,0,0,0,-42,9614,1,0,8095.57,1,1,1,0,0,0,0
1,1960.5,1,2534,1,1,5793.64,1,1,1,0,0,0,0,-42,9760,1,0,8569.12,1,1,1,0,0,0,0
2,1960.51,1,10188,1,1,6666.8,1,1,1,0,0,0,0,-42,2235,1,0,10811,1,1,1,0,0,0,0
2,1960.51,1,9134,1,1,6046.66,1,1,1,0,0,0,0,-42,9095,1,0,12680.9,1,1,1,0,0,0,0
3,1960.51,1,2553,1,1,5706.13,1,1,1,0,0,0,0,-42,1248,1,0,7722.57,1,1,1,0,0,0,0
3,1960.51,1,9152,1,0,7008.77,1,1,1,0,0,0,0,-42,2706,1,1,5288.48,1,1,1,0,0,0,0
3,1960.51,1,1045,1,1,6238.59,1,1,1,0,0,0,0,-42,12581,1,0,7300.95,1,1,1,0,0,0,0
3,1960.51,1,9908,1,1,6612.1,1,1,1,0,0,0,0,-42,16281,1,0,9438.46,1,1,1,0,0,0,0
4,1960.51,1,16647,1,1,7037.86,1,1,1,0,0,0,0,-42,4145,1,0,9648.84,1,1,1,0,0,0,0
4,1960.51,1,12896,1,1,7194.26,1,1,1,0,0,0,0,-42,9839,1,0,9729.32,1,1,1,0,0,0,0
4,1960.51,1,15848,1,1,6375.97,1,1,1,0,0,0,0,-42,16250,1,0,6008.86,1,1,1,0,0,0,0
5,1960.51,1,5834,1,1,7168.92,1,1,1,0,0,0,0,-42,65,1,0,7842.07,1,1,1,0,0,0,0
5,1960.51,1,14972,1,1,6220.98,1,1,1,0,0,0,0,-42,2033,1,0,7557.21,1,1,1,0,0,0,0
5,1960.51,1,279,1,0,6328.54,1,1,1,0,0,0,0,-42,10004,1,1,6851.56,1,1,1,0,0,0,0
5,1960.51,1,8378,1,1,5848.6,1,1,1,0,0,0,0,-42,10858,1,0,9921.01,1,1,1,0,0,0,0
5,1960.51,1,200,1,0,6633.37,1,1,1,0,0,0,0,-42,12459,1,1,5898.91,1,1,1,0,0,0,0
7,1960.52,1,11268,1,0,6180.94,1,1,1,0,0,0,0,-42,1406,1,1,9061.98,1,1,1,0,0,0,0
7,1960.52,1,14329,1,1,6033.37,1,1,1,0,0,0,0,-42,4205,1,0,8666.5,1,1,1,0,0,0,0
7,1960.52,1,3521,1,1,6134.51,1,1,1,0,0,0,0,-42,10042,1,0,8495.82,1,1,1,0,0,0,0
7,1960.52,1,2871,1,1,5952.23,1,1,1,0,0,0,0,-42,11666,1,0,10603.9,1,1,1,0,0,0,0
8,1960.52,1,977,1,1,6711.69,1,1,1,0,0,0,0,-42,5770,1,0,8871.86,1,1,1,0,0,0,0
8,1960.52,1,5905,1,1,6982.81,1,1,1,0,0,0,0,-42,10119,1,0,10247.7,1,1,1,0,0,0,0
8,1960.52,1,666,1,1,5916.56,1,1,1,0,0,0,0,-42,11067,1,0,10943.2,1,1,1,0,0,0,0
9,1960.52,1,13360,1,1,6632.88,1,1,1,0,0,0,0,-42,16316,1,0,7469.49,1,1,1,0,0,0,0
10,1960.53,1,145,1,1,6373.2,1,1,1,0,0,0,0,-42,9948,1,0,7999.31,1,1,1,0,0,0,0
10,1960.53,1,4469,1,1,6988.74,1,1,1,0,0,0,0,-42,11776,1,0,8471.87,1,1,1,0,0,0,0
10,1960.53,1,6072,1,1,6614.82,1,1,1,0,0,0,0,-42,12477,1,0,11208,1,1,1,0,0,0,0
10,1960.53,1,15078,1,1,6208.79,1,1,1,0,0,0,0,-42,12506,1,0,12206.7,1,1,1,0,0,0,0
10,1960.53,1,13216,1,1,6954.18,1,1,1,0,0,0,0,-42,13802,1,0,9253.43,1,1,1,0,0,0,0
10,1960.53,1,13809,1,1,5988.03,1,1,1,0,0,0,0,-42,16779,1,0,10283.8,1,1,1,0,0,0,0
11,1960.53,1,13499,1,1,6171.19,1,1,1,0,0,0,0,-42,1648,1,0,8642.28,1,1,1,0,0,0,0
11,1960.53,1,4689,1,1,7181.91,1,1,1,0,0,0,0,-42,3797,1,0,8696.2,1,1,1,0,0,0,0
11,1960.53,1,13905,1,1,6856.43,1,1,1,0,0,0,0,-42,9698,1,0,11277,1,1,1,0,0,0,0
11,1960.53,1,4433,1,0,6216.21,1,1,1,0,0,0,0,-42,14806,1,1,8003.83,1,1,1,0,0,0,0
11,1960.53,1,8132,1,1,6251.11,1,1,1,0,0,0,0,-42,16920,1,0,8507.8,1,1,1,0,0,0,0
12,1960.53,1,11509,1,1,5909.26,1,1,1,0,0,0,0,-42,17062,1,0,7723.57,1,1,1,0,0,0,0
12,1960.53,1,13315,1,1,6557.1,1,1,1,0,0,0,0,-42,17216,1,0,7310.9,1,1,1,0,0,0,0
13,1960.54,1,4283,1,1,6461.92,1,1,1,0,0,0,0,-42,3608,1,0,8127.87,1,1,1,0,0,0,0
13,1960.54,1,8604,1,0,7294.9,1,1,1,0,0,0,0,-42,9432,1,1,7713.77,1,1,1,0,0,0,0
13,1960.54,1,12369,1,0,6457.43,1,1,1,0,0,0,0,-42,13031,1,1,8609.14,1,1,1,0,0,0,0
13,1960.54,1,10370,1,1,6157.08,1,1,1,0,0,0,0,-42,13278,1,0,9490.53,1,1,1,0,0,0,0
14,1960.54,1,4328,1,1,7224.67,1,1,1,0,0,0,0,-42,136,1,0,9429.79,1,1,1,0,0,0,0
14,1960.54,1,3282,1,1,5901.17,1,1,1,0,0,0,0,-42,3989,1,0,8003.95,1,1,1,0,0,0,0
14,1960.54,1,11042,1,1,7085.35,1,1,1,0,0,0,0,-42,4040,1,0,7539.66,1,1,1,0,0,0,0
14,1960.54,1,12624,1,0,6788.04,1,1,1,0,0,0,0,-42,4832,1,1,8174.6,1,1,1,0,0,0,0
14,1960.54,1,5136,1,1,6436.47,1,1,1,0,0,0,0,-42,6931,1,0,7428.8,1,1,1,0,0,0,0
14,1960.54,1,414,1,1,6574.19,1,1,1,0,0,0,0,-42,16277,1,0,9274.11,1,1,1,0,0,0,0
15,1960.54,1,3573,1,1,6447.52,1,1,1,0,0,0,0,-42,503,1,0,9761.85,1,1,1,0,0,0,0
15,1960.54,1,11145,1,0,6254.28,1,1,1,0,0,0,0,-42,10869,1,1,6104.33,1,1,1,0,0,0,0
15,1960.54,1,1534,1,1,6180.04,1,1,1,0,0,0,0,-42,11099,1,0,8178.87,1,1,1,0,0,0,0
15,1960.54,1,13830,1,1,6082.77,1,1,1,0,0,0,0,-42,13350,1,0,5333.77,1,1,1,0,0,0,0
15,1960.54,1,6079,1,1,6194.87,1,1,1,0,0,0,0,-42,16039,1,0,10138,1,1,1,0,0,0,0
16,1960.54,1,13418,1,1,7155.14,1,1,1,0,0,0,0,-42,1345,1,0,6448.36,1,1,1,0,0,0,0
16,1960.54,1,8237,1,1,6297.07,1,1,1,0,0,0,0,-42,2587,1,0,10931.1,1,1,1,0,0,0,0
16,1960.54,1,10690,1,1,5589.24,1,1,1,0,0,0,0,-42,5590,1,0,8532.91,1,1,1,0,0,0,0
16,1960.54,1,7299,1,1,6400.02,1,1,1,0,0,0,0,-42,8499,1,0,7482.39,1,1,1,0,0,0,0
16,1960.54,1,11176,1,1,6371.05,1,1,1,0,0,0,0,-42,9842,1,0,10131.6,1,1,1,0,0,0,0
16,1960.54,1,11990,1,1,6642.81,1,1,1,0,0,0,0,-42,10626,1,0,6372.87,1,1,1,0,0,0,0
16,1960.54,1,16294,1,1,6191.11,1,1,1,0,0,0,0,-42,10982,1,0,8483.02,1,1,1,0,0,0,0
16,1960.54,1,6203,1,1,6875.59,1,1,1,0,0,0,0,-42,15427,1,0,8117.81,1,1,1,0,0,0,0
17,1960.55,1,278,1,1,7288.62,1,1,1,0,0,0,0,-42,9860,1,0,10363,1,1,1,0,0,0,0
17,1960.55,1,4858,1,1,5881.6,1,1,1,0,0,0,0,-42,10237,1,0,8030.18,1,1,1,0,0,0,0
17,1960.55,1,11764,1,1,6394.55,1,1,1,0,0,0,0,-42,10904,1,0,8110.99,1,1,1,0,0,0,0
18,1960.55,1,15474,1,1,6858.63,1,1,1,0,0,0,0,-42,7212,1,0,12709.7,1,1,1,0,0,0,0
18,1960.55,1,11623,1,1,7195.03,1,1,1,0,0,0,0,-42,9851,1,0,7872.72,1,1,1,0,0,0,0
19,1960.55,1,3605,1,1,5858.31,1,1,1,0,0,0,0,-42,125,1,0,9144.68,1,1,1,0,0,0,0
20,1960.55,1,9699,1,1,6310.07,1,1,1,0,0,0,0,-42,2669,1,0,9575.85,1,1,1,0,0,0,0
20,1960.55,1,15239,1,1,6982.72,1,1,1,0,0,0,0,-42,15598,1,0,8031.24,1,1,1,0,0,0,0
21,1960.56,1,1206,1,1,5775.14,1,1,1,0,0,0,0,-42,49,1,0,9087.83,1,1,1,0,0,0,0
21,1960.56,1,10823,1,1,6248.33,1,1,1,0,0,0,0,-42,827,1,0,14542,1,1,1,0,0,0,0
21,1960.56,1,13551,1,1,5695.91,1,1,1,0,0,0,0,-42,4101,1,0,10925.8,1,1,1,0,0,0,0
22,1960.56,1,4687,1,1,6659.98,1,1,1,0,0,0,0,-42,3570,1,0,8184.77,1,1,1,0,0,0,0
22,1960.56,1,16877,1,1,6788.51,1,1,1,0,0,0,0,-42,8083,1,0,8741.27,1,1,1,0,0,0,0
22,1960.56,1,14005,1,0,6709.67,1,1,1,0,0,0,0,-42,8932,1,1,8647.66,1,1,1,0,0,0,0
22,1960.56,1,3460,1,0,5983.65,1,1,1,0,0,0,0,-42,11621,1,1,8095.31,1,1,1,0,0,0,0
22,1960.56,1,5566,1,1,5774.27,1,1,1,0,0,0,0,-42,12484,1,0,8000.61,1,1,1,0,0,0,0
23,1960.56,1,13950,1,1,6209.89,1,1,1,0,0,0,0,-42,4738,1,0,10144,1,1,1,0,0,0,0
23,1960.56,1,4172,1,1,6577.67,1,1,1,0,0,0,0,-42,15356,1,0,7543.12,1,1,1,0,0,0,0
24,1960.57,1,12971,1,1,5980.97,1,1,1,0,0,0,0,-42,13358,1,0,10647.7,1,1,1,0,0,0,0
24,1960.57,1,12197,1,1,7010.35,1,1,1,0,0,0,0,-42,16087,1,0,8531.92,1,1,1,0,0,0,0
25,1960.57,1,9115,1,1,6768.13,1,1,1,0,0,0,0,-42,315,1,0,7402.14,1,1,1,0,0,0,0
25,1960.57,1,11200,1,1,6448.06,1,1,1,0,0,0,0,-42,1594,1,0,7639.64,1,1,1,0,0,0,0
25,1960.57,1,7522,1,0,6729.39,1,1,1,0,0,0,0,-42,8191,1,1,7688.29,1,1,1,0,0,0,0
25,1960.57,1,16130,1,1,6067.38,1,1,1,0,0,0,0,-42,15062,1,0,9664.41,1,1,1,0,0,0,0
26,1960.57,1,2463,1,1,6865.78,1,1,1,0,0,0,0,-42,682,1,0,8709,1,1,1,0,0,0,0
26,1960.57,1,6228,1,1,7255.56,1,1,1,0,0,0,0,-42,2514,1,0,8206.25,1,1,1,0,0,0,0
26,1960.57,1,14316,1,0,6059.68,1,1,1,0,0,0,0,-42,6804,1,1,7579.12,1,1,1,0,0,0,0
26,1960.57,1,2381,1,1,6683.91,1,1,1,0,0,0,0,-42,14298,1,0,9761.78,1,1,1,0,0,0,0
26,1960.57,1,12087,1,1,6515.53,1,1,1,0,0,0,0,-42,16796,1,0,8038.62,1,1,1,0,0,0,0
27,1960.57,1,5110,1,0,6796.43,1,1,1,0,0,0,0,-42,7292,1,1,8756.8,1,1,1,0,0,0,0
27,1960.57,1,12245,1,1,6670.03,1,1,1,0,0,0,0,-42,9771,1,0,7859.56,1,1,1,0,0,0,0
27,1960.57,1,4271,1,0,5933.2,1,1,1,0,0,0,0,-42,12984,1,1,6936.84,1,1,1,0,0,0,0
27,1960.57,1,12911,1,1,6033.96,1,1,1,0,0,0,0,-42,15640,1,0,10223,1,1,1,0,0,0,0
28,1960.58,1,5257,1,1,6389.91,1,1,1,0,0,0,0,-42,4199,1,0,9160.86,1,1,1,0,0,0,0
29,1960.58,1,12320,1,1,6418.97,1,1,1,0,0,0,0,-42,7807,1,0,8879.46,1,1,1,0,0,0,0
29,1960.58,1,9290,1,0,6201.54,1,1,1,0,0,0,0,-42,10077,1,1,5314.95,1,1,1,0,0,0,0
29,1960.58,1,14234,1,1,7220.17,1,1,1,0,0,0,0,-42,13101,1,0,6549.68,1,1,1,0,0,0,0
30,1960.58,1,15808,1,1,6363.67,1,1,1,0,0,0,0,-42,9683,1,0,9104.26,1,1,1,0,0,0,0
30,1960.58,1,1836,1,1,5654.34,1,1,1,0,0,0,0,-42,13353,1,0,7866.63,1,1,1,0,0,0,0
30,1960.58,1,17245,1,1,7120.09,1,1,1,0,0,0,0,-42,15368,1,0,10426.1,1,1,1,0,0,0,0
31,1960.58,1,7291,1,1,6283.41,1,1,1,0,0,0,0,-42,1030,1,0,8839,1,1,1,0,0,0,0
31,1960.58,1,16897,1,1,6030.43,1,1,1,0,0,0,0,-42,15980,1,0,10173.2,1,1,1,0,0,0,0
32,1960.59,1,5634,1,1,5482.17,1,1,1,0,0,0,0,-42,11514,1,0,7482.64,1,1,1,0,0,0,0
32,1960.59,1,6643,1,1,5774.81,1,1,1,0,0,0,0,-42,16302,1,0,8206.49,1,1,1,0,0,0,0
33,1960.59,1,366,1,1,5947.84,1,1,1,0,0,0,0,-42,5944,1,0,6591.67,1,1,1,0,0,0,0
33,1960.59,1,15993,1,1,7236.37,1,1,1,0,0,0,0,-42,11869,1,0,7392.89,1,1,1,0,0,0,0
33,1960.59,1,8020,1,0,6247.99,1,1,1,0,0,0,0,-42,13435,1,1,8585.65,1,1,1,0,0,0,0
34,1960.59,1,851,1,1,5966.52,1,1,1,0,0,0,0,-42,7602,1,0,7765.28,1,1,1,0,0,0,0
34,1960.59,1,13041,1,1,7105.35,1,1,1,0,0,0,0,-42,12664,1,0,11796.4,1,1,1,0,0,0,0
35,1960.6,1,15784,1,1,5649.12,1,1,1,0,0,0,0,-42,6484,1,0,10202.6,1,1,1,0,0,0,0
35,1960.6,1,9975,1,0,7210.41,1,1,1,0,0,0,0,-42,10331,1,1,8077.69,1,1,1,0,0,0,0
35,1960.6,1,959,1,0,6284.3,1,1,1,0,0,0,0,-42,13030,1,1,5299.73,1,1,1,0,0,0,0
35,1960.6,1,6430,1,0,6401.98,1,1,1,0,0,0,0,-42,15401,1,1,4931.9,1,1,1,0,0,0,0
36,1960.6,1,816,1,1,6462.29,1,1,1,0,0,0,0,-42,3811,1,0,6409.18,1,1,1,0,0,0,0
37,1960.6,1,6584,1,0,6223.1,1,1,1,0,0,0,0,-42,3997,1,1,7802.63,1,1,1,0,0,0,0
37,1960.6,1,11669,1,0,6769.29,1,1,1,0,0,0,0,-42,4887,1,1,8390.18,1,1,1,0,0,0,0
37,1960.6,1,16984,1,0,6257.69,1,1,1,0,0,0,0,-42,7736,1,1,7332.16,1,1,1,0,0,0,0
37,1960.6,1,14290,1,1,6573.88,1,1,1,0,0,0,0,-42,14485,1,0,8630.31,1,1,1,0,0,0,0
