Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,6,132.699,0,1,1,1584,0,0,78.0792,1,1,0,0,0,1,1,0,0,0,0,4662,0,1,16.2426,1,1,0,0,0,1,1,0,0,0,0
2,6,540.203,0,1,1,4081,0,0,68.5189,1,1,0,0,0,1,1,0,0,0,0,7795,0,1,16.5197,1,1,0,0,0,1,1,0,0,0,0
3,6,44.9171,0,1,1,8208,0,0,27.8594,1,1,0,0,0,1,1,0,0,0,0,7891,0,1,17.1302,1,1,0,0,0,1,1,0,0,0,0
4,6,18.7907,0,1,1,10269,0,0,57.7952,1,1,0,0,0,1,1,0,0,0,0,8190,0,1,18.6741,1,1,0,0,0,1,1,0,0,0,0
5,6,121.479,0,1,1,11029,0,0,17.4237,1,1,0,0,0,1,1,0,0,0,0,2036,0,1,31.9802,1,1,0,0,0,1,1,0,0,0,0
6,6,381.428,0,1,1,12329,1,0,33.1106,1,1,0,0,0,1,1,0,0,0,0,8356,0,1,17.3825,1,1,0,0,0,1,1,0,0,0,0
7,6,568.618,0,1,1,14454,0,0,72.9468,1,1,0,0,0,1,1,0,0,0,0,2845,0,1,27.1721,1,1,0,0,0,1,1,0,0,0,0
8,6,319.266,0,1,1,15424,0,0,64.4053,1,1,0,0,0,1,1,0,0,0,0,10099,0,1,14.2556,1,1,0,0,0,1,1,0,0,0,0
9,6,278.418,0,1,1,655,0,0,44.2331,1,1,0,0,0,1,1,0,0,0,0,5799,0,1,42.5193,1,1,0,0,0,1,1,0,0,0,0
10,6,37.8386,0,1,1,3248,0,0,66.3754,1,1,0,0,0,1,1,0,0,0,0,11620,0,1,19.941,1,1,0,0,0,1,1,0,0,0,0
11,6,237.951,0,1,1,7677,0,0,51.4851,1,1,0,0,0,1,1,0,0,0,0,6206,0,1,24.5723,1,1,0,0,0,1,1,0,0,0,0
12,6,1078.04,0,1,1,8069,0,0,69.0836,1,1,0,0,0,1,1,0,0,0,0,13757,0,1,16.3606,1,1,0,0,0,1,1,0,0,0,0
13,6,715.658,0,1,1,8285,0,0,51.1392,1,1,0,0,0,1,1,0,0,0,0,15746,0,1,17.939,1,1,0,0,0,1,1,0,0,0,0
14,6,135.699,0,1,1,8406,0,0,17.4691,1,1,0,0,0,1,1,0,0,0,0,12795,0,1,47.2999,1,1,0,0,0,1,1,0,0,0,0
15,6,683.059,0,1,1,8873,0,0,34.2049,1,1,0,0,0,1,1,0,0,0,0,1099,0,1,17.4847,1,1,0,0,0,1,1,0,0,0,0
16,6,543.657,0,1,1,11054,0,0,56.7856,1,1,0,0,0,1,1,0,0,0,0,13352,0,1,74.9283,1,1,0,0,0,1,1,0,0,0,0
17,6,356.76,0,1,1,11813,0,0,44.1256,1,1,0,0,0,1,1,0,0,0,0,13499,0,1,36.4598,1,1,0,0,0,1,1,0,0,0,0
18,6,147.793,0,1,1,12290,0,0,22.9891,1,1,0,0,0,1,1,0,0,0,0,2921,1,1,18.3394,1,1,0,0,0,1,1,0,0,0,0
19,6,174.329,0,1,1,15409,0,0,14.9987,1,1,0,0,0,1,1,0,0,0,0,5479,1,1,16.9753,1,1,0,0,0,1,1,0,0,0,0
20,6,222.794,0,1,1,15767,0,0,54.6921,1,1,0,0,0,1,1,0,0,0,0,9400,1,1,16.3495,1,1,0,0,0,1,1,0,0,0,0
21,6,281.399,0,1,1,16614,0,0,70.3061,1,1,0,0,0,1,1,0,0,0,0,15376,0,1,60.5266,1,1,0,0,0,1,1,0,0,0,0
22,6,233.91,0,1,1,3513,0,0,33.9314,1,1,0,0,0,1,1,0,0,0,0,16583,1,1,30.7349,1,1,0,0,0,1,1,0,0,0,0
