Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,4,Yes,0,0,0,355,145,218,0,60,56,64,64,49,111,13,0
1995.5,4,Yes,0,0,10,265,119,146,0,15,15,26,26,26,40,0,3
1995.5,4,Yes,0,0,20,235,119,108,0,0,0,12,12,8,4,0,6
1995.5,4,Yes,0,0,30,171,86,93,0,0,0,1,1,0,0,0,1
1995.5,4,Yes,0,0,40,147,73,65,0,0,0,7,7,6,5,0,1
1995.5,4,Yes,0,0,50,87,43,45,0,0,0,0,0,0,2,0,0
1995.5,4,Yes,0,0,60,55,24,29,0,2,0,1,1,1,2,0,0
1995.5,4,Yes,0,0,70,35,17,11,0,0,0,2,2,2,3,0,0
1995.5,4,Yes,0,0,80,7,1,1,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,10,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,4,Yes,0,1,20,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,4,Yes,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,50,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,4,Yes,0,1,60,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,4,Yes,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,10,0,0,0,0,0,0,0,0,0,3,2,0
1995.5,4,Yes,1,0,20,1,0,0,0,0,0,0,0,0,10,4,0
1995.5,4,Yes,1,0,30,0,0,0,0,0,0,0,0,0,0,4,0
1995.5,4,Yes,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
