SIM_TIME,YEAR,NODE_ID,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMCISED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMCISED,DEST_STI,DEST_SUPERSPREADER,SRC_CD4,SRC_VIRAL_LOAD,SRC_STAGE,DEST_CD4,DEST_VIRAL_LOAD,DEST_STAGE
64,1995.18,4,6336,1,1,7546.45,1,1,1,0,0,0,0,-42,1577,1,0,8656.65,1,1,1,0,0,0,0,525.96,10000,1,540.55,10000,1
64,1995.18,2,4047,1,1,10201.7,1,1,1,0,0,0,0,-42,6119,1,0,15474.7,1,1,1,0,0,0,0,528.892,10000,1,540.55,10000,1
64,1995.18,1,2634,1,1,9078.28,1,1,1,0,0,0,0,-42,2347,1,0,9386.88,1,1,1,0,0,0,0,531.985,10000,1,540.55,10000,1
65,1995.18,4,6236,1,0,9262.71,1,1,1,0,0,0,0,-42,3159,1,1,8237.21,1,1,1,0,0,0,0,524.739,10000,1,540.55,10000,1
66,1995.18,4,5369,1,0,9313.27,1,1,1,0,0,0,0,-42,4660,1,1,6951.61,1,2,2,0,0,0,0,525.33,10000,1,540.55,10000,1
66,1995.18,4,2177,1,0,7653.93,1,1,1,0,0,0,0,-42,6357,1,1,5657.11,1,1,1,0,0,0,0,532.915,10000,1,540.55,10000,1
67,1995.18,1,2874,1,0,7607.55,1,1,1,0,0,0,0,-42,4535,1,1,6587.84,1,1,1,0,0,0,0,512.652,10000,1,540.55,10000,1
68,1995.19,3,3060,1,0,7698.77,1,1,1,0,0,0,0,-42,6158,1,1,7461.75,1,1,1,0,0,0,0,528.883,10000,1,540.55,10000,1
70,1995.19,1,2143,1,1,11149.6,1,1,1,0,0,0,0,-42,5914,1,0,9842.05,1,1,1,0,0,0,0,531.641,10000,1,540.55,10000,1
71,1995.19,2,3505,1,1,6016.8,1,1,1,0,0,0,0,-42,639,1,0,8277.41,1,1,1,0,0,0,0,472.898,10000,1,540.55,10000,1
72,1995.2,4,4159,1,0,9275.5,1,1,1,0,0,0,0,-42,1604,1,1,10043.5,1,1,1,0,0,0,0,530.409,10000,1,540.55,10000,1
77,1995.21,4,946,1,0,8820.81,1,1,1,0,0,0,0,-42,1303,1,1,5442.33,1,2,2,0,0,0,0,527.479,10000,1,540.55,10000,1
77,1995.21,3,1074,1,1,5964.44,1,2,2,0,0,0,0,-42,33,1,0,9471.45,1,1,1,0,0,0,0,529.185,10000,1,540.55,10000,1
77,1995.21,2,5431,1,1,7136.08,1,1,1,0,0,0,0,-42,6699,1,0,8394.99,1,1,1,0,0,0,0,358.031,10000,1,540.55,10000,1
78,1995.21,4,93,1,0,8523.1,1,1,1,0,0,0,0,-42,3163,1,1,6653.83,1,1,1,0,0,0,0,529.1,10000,1,540.55,10000,1
85,1995.23,3,1325,1,1,12461.8,1,1,1,0,0,0,0,-42,6291,1,0,15181.7,1,1,1,0,0,0,0,518.237,10000,1,540.55,10000,1
85,1995.23,3,2382,1,0,6482.84,1,1,1,0,0,0,0,-42,331,1,1,7123.47,1,1,1,0,0,0,0,532.6,10000,1,540.55,10000,1
85,1995.23,1,94,1,1,13575,1,1,1,0,0,0,0,-42,3618,1,0,11608.9,1,1,1,0,0,0,0,506.144,10000,1,540.55,10000,1
86,1995.24,4,3741,1,1,7407.81,1,1,1,0,0,0,0,-42,4526,1,0,11096.4,1,1,1,0,0,0,0,514.428,10000,1,540.55,10000,1
88,1995.24,2,2564,1,0,7822.29,1,1,1,0,0,0,0,-42,1053,1,1,8099.24,1,1,1,0,0,0,0,532.815,10000,1,540.55,10000,1
100,1995.27,3,5243,1,1,6308.28,1,1,1,0,0,0,0,-42,3746,1,0,7962.85,1,1,1,0,0,0,0,528.744,10000,2,540.55,10000,1
119,1995.33,2,5942,1,0,10065.2,1,1,1,0,0,0,0,-42,5594,1,1,6421.19,1,2,2,0,0,0,0,528.747,10000,2,540.55,10000,1
123,1995.34,3,6136,1,0,7685.26,1,2,2,0,0,0,0,-42,1784,1,1,7287.44,1,1,1,0,0,0,0,534.952,10000,1,540.55,10000,1
155,1995.42,3,6891,1,0,8834.14,1,2,2,0,0,0,0,-42,829,1,1,5537.89,1,1,1,0,0,0,0,519.654,10000,2,540.55,10000,1
173,1995.47,4,3245,1,1,11672.9,1,1,1,0,0,0,0,-42,912,1,0,12190.3,1,1,1,0,0,0,0,522.506,10000,2,540.55,10000,1
176,1995.48,2,6401,1,0,8327.52,1,1,1,0,0,0,0,-42,4568,1,1,7732.27,1,3,3,0,0,0,0,475.278,10000,2,540.55,10000,1
234,1995.64,4,6783,1,0,9303.55,1,2,1,0,0,0,0,-42,1322,1,1,8716.47,1,1,1,0,0,0,0,520.138,10000,2,540.55,10000,1
239,1995.65,2,5304,1,0,11417,1,1,1,0,0,0,0,-42,485,1,1,8120.73,1,1,1,0,0,0,0,506.303,10000,2,540.55,10000,1
259,1995.71,3,4923,1,0,11091.6,1,1,1,0,0,0,0,-42,5248,1,1,8038.72,1,3,3,0,0,0,0,467.399,10000,2,540.55,10000,1
272,1995.75,4,3262,1,0,7055.49,1,2,1,0,0,0,0,-42,451,1,1,5939.06,1,2,2,0,0,0,0,508.566,10000,2,540.55,10000,1
285,1995.78,4,3367,1,0,8896.63,1,2,2,0,0,0,0,-42,4060,1,1,7947.29,1,2,2,0,0,0,0,378.611,10000,2,540.55,10000,1
293,1995.8,4,4284,1,1,7083.38,1,2,2,0,0,0,0,-42,1930,1,0,5554.36,1,1,1,0,0,0,0,499.31,10000,2,540.55,10000,1
303,1995.83,4,5642,1,0,7368,1,1,1,0,0,0,0,-42,5257,1,1,6135.99,1,2,2,0,0,0,0,460.632,10000,2,540.55,10000,1
321,1995.88,1,2982,1,1,12400.5,1,2,2,0,0,0,0,-42,657,1,0,14036.1,1,1,1,0,0,0,0,499.017,10000,2,540.55,10000,1
330,1995.9,2,3316,1,0,8236.18,1,1,1,0,0,0,0,-42,864,1,1,6527.67,1,2,1,0,0,0,0,497.961,10000,2,540.55,10000,1
336,1995.92,4,2238,1,1,14891.7,1,1,1,0,0,0,0,-42,5096,1,0,18367.4,1,1,1,0,0,0,0,448.138,10000,2,540.55,10000,1
336,1995.92,3,2268,1,0,5910.99,1,1,1,0,0,0,0,-42,6443,1,1,7378.62,1,1,1,0,0,0,0,510.9,10000,2,540.55,10000,1
376,1996.03,1,4327,1,0,13406.7,1,1,1,0,0,0,0,-42,4482,1,1,8949.52,1,2,1,0,0,0,0,392.014,10000,2,540.55,10000,1
381,1996.04,2,171,1,0,11144.7,1,1,1,0,0,0,0,-42,5395,1,1,6487.4,1,3,2,0,0,0,0,459.111,10000,2,540.55,10000,1
403,1996.1,3,410,1,1,13547.9,1,1,1,0,0,0,0,-42,4874,1,0,14696.2,1,2,2,0,0,0,0,477.355,10000,2,540.55,10000,1
412,1996.13,2,928,1,0,7709.04,1,1,1,0,0,0,0,-42,5561,1,1,13473.1,1,2,2,0,0,0,0,322.122,10000,2,540.55,10000,1
446,1996.22,4,5982,1,1,6953.19,1,2,1,0,0,0,0,-42,201,1,0,4862.5,1,1,1,0,0,0,0,398.262,10000,2,540.55,10000,1
469,1996.28,3,642,1,0,9407.33,1,2,2,0,0,0,0,-42,3452,1,1,7450.09,1,2,2,0,0,0,0,452.749,10000,2,540.55,10000,1
497,1996.36,3,4291,1,0,8303.08,1,3,1,0,0,0,0,-42,3548,1,1,7408.45,1,2,1,0,0,0,0,484.307,10000,2,540.55,10000,1
536,1996.47,3,6948,1,1,15181.2,1,2,1,0,0,0,0,-42,2388,1,0,14992.6,1,1,1,0,0,0,0,456.968,10000,2,540.55,10000,1
554,1996.52,1,6853,1,0,6736.04,1,2,1,0,0,0,0,-42,647,1,1,5847.51,1,1,1,0,0,0,0,375.183,10000,2,540.55,10000,1
569,1996.56,3,5988,1,1,14112.2,1,1,1,0,0,0,0,-42,3838,1,0,19439.6,1,3,1,0,0,0,0,425.781,10000,2,540.55,10000,1
576,1996.58,2,2509,1,1,10830.3,1,2,1,0,0,0,0,-42,834,1,0,10555.8,1,2,2,0,0,0,0,358.36,10000,4,540.55,10000,1
582,1996.59,3,2413,1,0,10408.1,1,3,2,0,0,0,0,-42,1869,1,1,10469.4,1,1,1,0,0,0,0,111.609,10000,3,540.55,10000,1
589,1996.61,2,1066,1,0,11678.4,1,2,1,0,0,0,0,-42,3372,1,1,9990.06,1,2,1,0,0,0,0,414.238,10000,2,540.55,10000,1
596,1996.63,3,137,1,1,5751.52,1,1,1,0,0,0,0,-42,6002,1,0,8487.64,1,4,2,0,0,0,0,53.4331,10000,3,540.55,10000,1
625,1996.71,1,6301,1,0,9252.98,1,4,1,0,0,0,0,-42,1541,1,1,7965.82,1,3,1,0,0,0,0,433.248,10000,2,540.55,10000,1
664,1996.82,4,3563,1,0,12235.6,1,1,1,0,0,0,0,-42,2688,1,1,10113.2,1,3,2,0,0,0,0,429.657,10000,2,540.55,10000,1
672,1996.84,3,4028,1,0,12652.3,1,2,2,0,0,0,0,-42,6663,1,1,10576.5,1,2,1,0,0,0,0,47.0278,10000,3,540.55,10000,1
674,1996.85,3,2236,1,0,10867.2,1,4,2,0,0,0,0,-42,4122,1,1,7995.76,1,5,1,0,0,0,0,460.818,10000,2,540.55,10000,1
734,1997.01,4,385,1,1,12308.7,1,1,0,0,0,0,0,-42,3201,1,0,15372.2,1,2,0,0,0,0,0,458.681,10000,2,540.55,10000,1
757,1997.07,3,6792,1,0,8572.67,1,4,1,0,0,0,0,-42,434,1,1,9514.97,1,5,1,0,0,0,0,406.537,10000,2,540.55,10000,1
770,1997.11,1,864,1,1,6966.67,1,4,1,0,0,0,0,-42,4371,1,0,9093.19,1,3,2,0,0,0,0,500.254,10000,2,540.55,10000,1
795,1997.18,2,1177,1,1,7507.78,1,6,2,0,0,0,0,-42,5551,1,0,9217.25,1,4,2,0,0,0,0,288.824,10000,2,540.55,10000,1
799,1997.19,2,2558,1,0,9215.76,1,5,1,0,0,0,0,-42,5984,1,1,6040.45,1,1,1,0,0,0,0,435.969,10000,2,540.55,10000,1
816,1997.24,4,2484,1,0,12410.3,1,1,1,0,0,0,0,-42,1111,1,1,10390.8,1,3,2,0,0,0,0,418.703,10000,2,540.55,10000,1
839,1997.3,3,2578,1,0,12048.4,1,4,1,0,0,0,0,-42,1119,1,1,7817.88,1,2,1,0,0,0,0,415.959,10000,2,540.55,10000,1
894,1997.45,3,5744,1,0,7636.93,1,4,1,0,0,0,0,-42,2128,1,1,8860.82,1,8,2,0,0,0,0,347.792,10000,2,540.55,10000,1
905,1997.48,3,794,1,0,9300.61,1,9,4,0,0,0,0,-42,6319,1,1,6112.67,1,3,2,0,0,0,0,153.782,10000,2,540.55,10000,1
946,1997.59,4,2756,1,0,8552.26,1,5,1,0,0,0,0,-42,4847,1,1,9204.02,1,3,1,0,0,0,0,403.827,10000,2,540.55,10000,1
1016,1997.78,2,271,1,0,9756.51,1,4,1,0,0,0,0,-42,341,1,1,8624.8,1,4,1,0,0,0,0,410.294,10000,2,540.55,10000,1
1056,1997.89,2,4609,1,0,14699.5,1,3,1,0,0,0,0,-42,6884,1,1,8824.25,1,7,1,0,0,0,0,391.621,10000,2,540.55,10000,1
1125,1998.08,4,5063,1,0,7954.65,1,3,1,0,0,0,0,-42,114,1,1,7636.43,1,9,2,0,0,0,0,476.945,10000,2,540.55,10000,1
1140,1998.12,4,865,1,0,6080.04,1,1,1,0,0,0,0,-42,6365,1,1,6367.95,1,6,2,0,0,0,0,434.237,10000,2,540.55,10000,1
1143,1998.13,1,1566,1,1,8365.44,1,7,2,0,0,0,0,-42,4859,1,0,11478.6,1,4,2,0,0,0,0,395.1,10000,2,540.55,10000,1
1147,1998.14,1,3114,1,0,15554.3,1,2,1,0,0,0,0,-42,6743,1,1,10376.9,1,7,2,0,0,0,0,238.92,10000,2,540.55,10000,1
1170,1998.21,2,3798,1,1,12708.9,1,2,1,0,0,0,0,-42,4543,1,0,14079.8,1,2,1,0,0,0,0,110.497,10000,2,540.55,10000,1
1197,1998.28,2,2218,1,1,7084.66,1,6,1,0,0,0,0,-42,5087,1,0,6987.02,1,6,1,0,0,0,0,63.1993,10000,3,540.55,10000,1
1209,1998.31,4,3135,1,0,8966.45,1,6,2,0,0,0,0,-42,6349,1,1,5658.73,1,1,1,0,0,0,0,412.298,10000,2,540.55,10000,1
1235,1998.38,4,6284,1,0,8649.15,1,4,3,0,0,0,0,-42,4928,1,1,5621.01,1,2,1,0,0,0,0,456.676,10000,2,540.55,10000,1
1306,1998.58,1,3295,1,0,8428.33,1,4,1,0,0,0,0,-42,605,1,1,6354.02,1,5,1,0,0,0,0,147.292,10000,2,540.55,10000,1
1319,1998.61,1,2832,1,0,7642.28,1,5,1,0,0,0,0,-42,402,1,1,6942.15,1,8,1,0,0,0,0,417.556,10000,2,540.55,10000,1
1367,1998.75,2,4838,1,0,9232.88,1,4,2,0,0,0,0,-42,2986,1,1,6493.52,1,6,1,0,0,0,0,65.6381,10000,3,540.55,10000,1
1371,1998.76,3,1428,1,0,8499.01,1,5,1,0,0,0,0,-42,3464,1,1,6913.46,1,5,2,0,0,0,0,384.743,10000,3,540.55,10000,1
1387,1998.8,3,6152,1,0,7996.24,1,3,1,0,0,0,0,-42,6043,1,1,5733.47,1,2,2,0,0,0,0,376.694,10000,2,540.55,10000,1
1407,1998.85,1,209,1,0,22794.8,1,1,1,0,0,0,0,-42,5195,1,1,17820.2,1,1,1,0,0,0,0,98.6335,10000,2,540.55,10000,1
1411,1998.87,4,1548,1,1,9834.67,1,8,1,0,0,0,0,-42,4712,1,0,8847.59,1,3,1,0,0,0,0,265.704,10000,2,540.55,10000,1
1466,1999.02,3,2360,1,0,12673.6,1,4,0,0,0,0,0,-42,3344,1,1,11601.7,1,6,0,0,0,0,0,220.036,10000,2,540.55,10000,1
1468,1999.02,1,2728,1,0,9392.41,1,2,1,0,0,0,0,-42,897,1,1,8064.35,1,4,1,0,0,0,0,391.585,10000,2,540.55,10000,1
1480,1999.05,1,1422,1,1,11755.6,1,6,1,0,0,0,0,-42,6610,1,0,14065.3,1,5,1,0,0,0,0,40.3137,10000,3,540.55,10000,1
1486,1999.07,2,1465,1,1,6197.58,1,2,1,0,0,0,0,-42,2559,1,0,6908.08,1,7,3,0,0,0,0,409.645,10000,2,540.55,10000,1
1490,1999.08,1,2098,1,0,18403.4,1,1,0,0,0,0,0,-42,2539,1,1,18981,1,1,0,0,0,0,0,51.6131,10000,3,540.55,10000,1
1502,1999.12,2,3401,1,1,5572.73,1,2,1,0,0,0,0,-42,3085,1,0,7811.61,1,3,1,0,0,0,0,288.467,10000,2,540.55,10000,1
1508,1999.13,4,399,1,0,11847.6,1,6,1,0,0,0,0,-42,5647,1,1,7012.08,1,6,1,0,0,0,0,185.598,10000,2,540.55,10000,1
1537,1999.21,1,1557,1,1,6048.86,1,5,2,0,0,0,0,-42,728,1,0,9073.17,1,5,1,0,0,0,0,153.903,10000,2,540.55,10000,1
1570,1999.3,1,4839,1,0,7458.09,1,6,1,0,0,0,0,-42,6886,1,1,8061.03,1,6,1,0,0,0,0,355.125,10000,2,540.55,10000,1
1599,1999.38,1,2869,1,0,6882.33,1,1,1,0,0,0,0,-42,471,1,1,5614.55,1,1,1,0,0,0,0,392.054,10000,2,540.55,10000,1
1626,1999.45,2,135,1,1,9751.34,1,7,2,0,0,0,0,-42,4686,1,0,15088.5,1,4,1,0,0,0,0,123.18,10000,2,540.55,10000,1
1629,1999.46,4,1909,1,0,8281.29,1,8,1,0,0,0,0,-42,3871,1,1,6467.27,1,7,2,0,0,0,0,363.811,10000,2,540.55,10000,1
1672,1999.58,3,4299,1,1,6506.58,1,9,3,0,0,0,0,-42,3396,1,0,7179.49,1,4,1,0,0,0,0,339.221,10000,2,540.55,10000,1
1686,1999.62,3,2614,1,1,5142.55,1,1,1,0,0,0,0,-42,3598,1,0,8413.44,1,3,1,0,0,0,0,62.6171,10000,3,540.55,10000,1
1690,1999.63,2,2859,1,1,9793.3,1,9,2,0,0,0,0,-42,467,1,0,12103.8,1,4,1,0,0,0,0,540.55,10000,4,540.55,10000,1
1709,1999.68,1,6917,1,1,7858.2,1,9,1,0,0,0,0,-42,6539,1,0,11690.7,1,14,2,0,0,0,0,380.548,10000,2,540.55,10000,1
1752,1999.8,3,6213,1,0,7790.83,1,5,2,0,0,0,0,-42,4385,1,1,6789.28,1,9,2,0,0,0,0,345.989,10000,2,540.55,10000,1
1756,1999.81,2,3954,1,0,9707.46,1,14,3,0,0,0,0,-42,3310,1,1,5737.84,1,2,2,0,0,0,0,274.575,10000,3,540.55,10000,1
1768,1999.84,1,4953,1,1,13375.6,1,2,1,0,0,0,0,-42,3623,1,0,15397.6,1,4,1,0,0,0,0,287.06,10000,4,540.55,10000,1
1869,2000.12,3,6476,1,1,13897.4,1,3,0,0,0,0,0,-42,6297,1,0,13928.3,1,5,0,0,0,0,0,136.075,10000,4,540.55,10000,1
1932,2000.29,2,5950,1,0,8513.55,1,5,1,0,0,0,0,-42,1163,1,1,6592.42,1,8,3,0,0,0,0,275.496,10000,2,540.55,10000,1
1953,2000.35,4,3148,1,0,9770.31,1,8,1,0,0,0,0,-42,5318,1,1,7917.04,1,14,1,0,0,0,0,349.605,10000,2,540.55,10000,1
1964,2000.38,4,1009,1,1,8626.2,1,13,2,0,0,0,0,-42,962,1,0,9164.26,1,13,2,0,0,0,0,540.55,10000,4,540.55,10000,1
1981,2000.43,2,3922,1,1,11259.5,1,6,0,0,0,0,0,-42,5880,1,0,11417.5,1,7,0,0,0,0,0,540.55,10000,4,540.55,10000,1
2032,2000.57,1,3814,1,0,8203.32,1,3,1,0,0,0,0,-42,2930,1,1,5939.88,1,1,1,0,0,0,0,213.473,10000,2,540.55,10000,1
2057,2000.64,3,2930,1,1,5964.88,1,2,2,0,0,0,0,-42,5874,1,0,5699.24,1,1,1,0,0,0,0,534.137,10000,4,540.55,10000,1
2107,2000.77,4,3272,1,1,23427.6,1,1,0,0,0,0,0,-42,2814,1,0,29028.2,1,1,0,0,0,0,0,201.852,10000,2,540.55,10000,1
2231,2001.11,2,2787,1,1,7264.88,1,14,1,0,0,0,0,-42,2960,1,0,6683.83,1,2,2,0,0,0,0,160.328,10000,3,540.55,10000,1
2285,2001.26,4,2675,1,0,6732.01,1,2,1,0,0,0,0,-42,3920,1,1,7173.76,1,5,1,0,0,0,0,173.309,10000,2,540.55,10000,1
2298,2001.3,4,6554,1,0,9467.88,1,10,1,0,0,0,0,-42,3161,1,1,8756.56,1,16,4,0,0,0,0,303.312,10000,2,540.55,10000,1
2334,2001.39,2,620,1,1,9823.31,1,11,0,0,0,0,0,-42,4702,1,0,15908.4,1,4,0,0,0,0,0,86.6457,10000,2,540.55,10000,1
2422,2001.64,1,87,1,0,6602.94,1,1,1,0,0,0,0,-42,4449,1,1,5779.02,1,2,1,0,0,0,0,189.729,10000,2,540.55,10000,1
2466,2001.76,3,5748,1,0,7536.16,1,6,1,0,0,0,0,-42,4293,1,1,5740.33,1,1,1,0,0,0,0,113.301,10000,2,540.55,10000,1
2534,2001.94,3,1511,1,0,9534.58,1,8,2,0,0,0,0,-42,5393,1,1,8975.22,1,15,2,0,0,0,0,205.935,10000,2,540.55,10000,1
2552,2001.99,2,2399,1,0,9927.95,1,12,1,0,0,0,0,-42,2768,1,1,10013.6,1,13,1,0,0,0,0,89.2491,10000,3,540.55,10000,1
2624,2002.19,3,220,1,0,11663,1,13,1,0,0,0,0,-42,2523,1,1,5860.12,1,4,4,0,0,0,0,46.4756,10000,3,540.55,10000,1
2631,2002.21,2,3278,1,0,13445,1,10,1,0,0,0,0,-42,472,1,1,11732.4,1,8,1,0,0,0,0,276.997,10000,2,540.55,10000,1
2931,2003.03,4,2901,1,0,6458.94,1,3,2,0,0,0,0,-42,4894,1,1,5878.04,1,1,1,0,0,0,0,50.2951,10000,3,540.55,10000,1
3146,2003.62,2,790,1,1,14892,1,3,0,0,0,0,0,-42,5148,1,0,15859.2,1,5,0,0,0,0,0,540.55,10000,4,540.55,10000,1
3396,2004.3,2,2519,1,1,6468.53,1,6,2,0,0,0,0,-42,4045,1,0,6263.25,1,2,1,0,0,0,0,478.672,10000,4,540.55,10000,1
3431,2004.4,2,4045,1,0,6298.25,1,3,2,0,0,0,0,-42,3519,1,1,8046.67,1,16,1,0,0,0,0,532.229,10000,1,540.55,10000,1
3533,2004.68,3,3420,1,0,6730.86,1,3,1,0,0,0,0,-42,3643,1,1,6101.81,1,9,1,0,0,0,0,230.583,10000,3,540.55,10000,1
3673,2005.06,3,3090,1,0,12213.1,1,15,1,0,0,0,0,-42,316,1,1,6407.72,1,9,3,0,0,0,0,127.456,10000,2,540.55,10000,1
3784,2005.37,2,4291,1,0,11589.1,1,14,1,0,0,0,0,-42,6408,1,1,10867.5,1,13,1,0,0,0,0,190.147,10000,2,540.55,10000,1
4086,2006.19,2,2267,1,1,18003.7,1,7,0,0,0,0,0,-42,1086,1,0,19971.1,1,5,0,0,0,0,0,60.2527,10000,2,540.55,10000,1
4263,2006.68,2,2195,1,0,9594.54,1,9,2,0,0,0,0,-42,4858,1,1,6986.48,1,7,2,0,0,0,0,125.248,10000,2,540.55,10000,1
4471,2007.25,2,4068,1,0,5982.39,1,6,2,0,0,0,0,-42,6200,1,1,7054.53,1,23,3,0,0,0,0,161.373,10000,2,540.55,10000,1
4489,2007.3,1,1323,1,0,6635.58,1,1,1,0,0,0,0,-42,4977,1,1,6582.03,1,8,1,0,0,0,0,165.573,10000,2,540.55,10000,1
4608,2007.62,4,5063,1,0,11437.6,1,12,0,0,0,0,0,-42,4895,1,1,12306,1,16,0,0,0,0,0,305.123,10000,2,540.55,10000,1
