SIM_TIME,YEAR,NODE_ID,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMCISED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMCISED,DEST_STI,DEST_SUPERSPREADER,SRC_CD4,SRC_VIRAL_LOAD,SRC_STAGE,DEST_CD4,DEST_VIRAL_LOAD,DEST_STAGE
10,1995.03,4,6177,1,1,13427.8,1,1,1,0,0,0,0,-42,5533,1,0,17073.8,1,1,1,0,0,0,0,537.052,10000,1,540.55,10000,1
10,1995.03,3,2968,1,0,11105,1,1,1,0,0,0,0,-42,3404,1,1,11210.5,1,1,1,0,0,0,0,538.002,10000,1,540.55,10000,1
20,1995.05,1,4670,1,0,7451.24,1,1,1,0,0,0,0,-42,6710,1,1,6804.67,1,1,1,0,0,0,0,538.059,10000,1,540.55,10000,1
25,1995.07,2,5397,1,1,8991.66,1,1,1,0,0,0,0,-42,1447,1,0,8295.3,1,1,1,0,0,0,0,538.681,10000,1,540.55,10000,1
28,1995.08,4,4442,1,1,5575.06,1,1,1,0,0,0,0,-42,4621,1,0,8272.02,1,1,1,0,0,0,0,537.296,10000,1,540.55,10000,1
28,1995.08,3,3216,1,0,6109.99,1,1,1,0,0,0,0,-42,1912,1,1,6755.48,1,1,1,0,0,0,0,528.714,10000,1,540.55,10000,1
28,1995.08,2,2071,1,1,6889.07,1,1,1,0,0,0,0,-42,3951,1,0,6467.89,1,1,1,0,0,0,0,532.364,10000,1,540.55,10000,1
28,1995.08,2,2895,1,1,7991.77,1,1,1,0,0,0,0,-42,726,1,0,7364.81,1,1,1,0,0,0,0,533.533,10000,1,540.55,10000,1
28,1995.08,1,4518,1,1,7159.18,1,1,1,0,0,0,0,-42,4714,1,0,10773.3,1,1,1,0,0,0,0,533.723,10000,1,540.55,10000,1
28,1995.08,1,6458,1,1,7423.87,1,1,1,0,0,0,0,-42,5370,1,0,9519.51,1,1,1,0,0,0,0,535.564,10000,1,540.55,10000,1
31,1995.08,1,5163,1,0,11816.9,1,1,1,0,0,0,0,-42,2758,1,1,6112.65,1,1,1,0,0,0,0,536.476,10000,1,540.55,10000,1
32,1995.09,4,1795,1,0,8634.57,1,1,1,0,0,0,0,-42,5389,1,1,6431.39,1,1,1,0,0,0,0,535.892,10000,1,540.55,10000,1
36,1995.1,4,5962,1,1,15958.1,1,1,1,0,0,0,0,-42,857,1,0,18861.3,1,1,1,0,0,0,0,535.774,10000,1,540.55,10000,1
36,1995.1,2,843,1,1,8236.33,1,1,1,0,0,0,0,-42,3047,1,0,9695.89,1,1,1,0,0,0,0,532.455,10000,1,540.55,10000,1
38,1995.1,3,6316,1,0,17280.7,1,1,1,0,0,0,0,-42,5412,1,1,17332.1,1,1,1,0,0,0,0,527.004,10000,1,540.55,10000,1
40,1995.11,3,6895,1,0,13727.9,1,1,1,0,0,0,0,-42,4355,1,1,9680.34,1,1,1,0,0,0,0,516.129,10000,1,540.55,10000,1
42,1995.12,1,1546,1,0,11259.4,1,1,1,0,0,0,0,-42,850,1,1,8474.52,1,1,1,0,0,0,0,532.154,10000,1,540.55,10000,1
42,1995.12,1,2999,1,0,6588.71,1,1,1,0,0,0,0,-42,1039,1,1,6836.76,1,1,1,0,0,0,0,535.804,10000,1,540.55,10000,1
43,1995.12,3,3380,1,1,6469.76,1,1,1,0,0,0,0,-42,6136,1,0,7606.26,1,1,1,0,0,0,0,535.562,10000,1,540.55,10000,1
44,1995.12,1,2578,1,0,11254.4,1,1,1,0,0,0,0,-42,5070,1,1,8663.66,1,1,1,0,0,0,0,533.603,10000,1,540.55,10000,1
45,1995.12,3,336,1,1,5748.94,1,1,1,0,0,0,0,-42,1216,1,0,6412.1,1,1,1,0,0,0,0,536.22,10000,1,540.55,10000,1
47,1995.13,3,1352,1,1,9946.25,1,1,1,0,0,0,0,-42,6944,1,0,9397.96,1,2,2,0,0,0,0,534.809,10000,1,540.55,10000,1
51,1995.14,1,3990,1,0,12346.2,1,1,1,0,0,0,0,-42,1398,1,1,9160.99,1,1,1,0,0,0,0,519.248,10000,1,540.55,10000,1
52,1995.14,3,2018,1,0,9027.63,1,1,1,0,0,0,0,-42,2005,1,1,6274.95,1,1,1,0,0,0,0,489.703,10000,1,540.55,10000,1
53,1995.15,4,3014,1,1,6919.05,1,1,1,0,0,0,0,-42,5853,1,0,9821.75,1,1,1,0,0,0,0,530.785,10000,1,540.55,10000,1
54,1995.15,1,3822,1,1,12068.1,1,1,1,0,0,0,0,-42,3611,1,0,15239.8,1,1,1,0,0,0,0,524.224,10000,1,540.55,10000,1
55,1995.15,1,4226,1,0,6031.24,1,1,1,0,0,0,0,-42,2114,1,1,7169.14,1,1,1,0,0,0,0,535.037,10000,1,540.55,10000,1
57,1995.16,1,6693,1,1,9283.72,1,1,1,0,0,0,0,-42,1502,1,0,10784.2,1,1,1,0,0,0,0,506.318,10000,1,540.55,10000,1
60,1995.16,1,533,1,0,8579.69,1,2,2,0,0,0,0,-42,3244,1,1,7863.98,1,1,1,0,0,0,0,451.027,10000,1,540.55,10000,1
62,1995.17,1,2334,1,1,6917.36,1,1,1,0,0,0,0,-42,5784,1,0,6222.78,1,1,1,0,0,0,0,482.784,10000,1,540.55,10000,1
63,1995.17,4,3253,1,0,6537.47,1,1,1,0,0,0,0,-42,5941,1,1,5845.52,1,1,1,0,0,0,0,527.311,10000,1,540.55,10000,1
