Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,174.272,0,1,1,677,0,0,25.6799,1,1,0,0,0,1,1,1,0,0,0,15737,0,1,18.9261,1,1,0,0,0,1,1,0,0,0,0
2,0,54.8212,0,1,1,5803,0,0,39.1532,1,1,0,0,0,1,1,1,0,0,0,3346,0,1,35.9267,1,1,0,0,0,1,1,0,0,0,0
3,0,322.018,0,1,1,12131,0,0,23.1955,1,1,0,0,0,1,1,1,0,0,0,2692,0,1,21.2847,1,1,0,0,0,1,1,1,0,0,0
4,0,1195.31,0,1,1,12899,0,0,29.4642,1,1,0,0,0,1,1,0,0,0,0,4149,0,1,23.1528,1,1,0,0,0,1,1,0,0,0,0
5,0,248.989,0,1,1,16326,0,0,26.4439,1,1,0,0,0,1,1,0,0,0,0,11826,0,1,32.0035,1,1,0,0,0,1,1,3,0,0,0
6,0,964.097,1,1,1,3841,0,0,36.6164,1,0,1,0,0,1,1,0,0,0,0,1085,0,1,38.1973,1,0,1,0,0,1,1,7,0,0,0
7,0,1078.96,1,1,1,6522,0,0,36.2545,1,0,1,0,0,1,1,1,0,0,0,15118,0,1,33.0519,1,0,1,0,0,1,1,1,0,0,0
8,0,526.959,1,1,1,7456,0,0,31.4016,1,0,1,0,0,1,1,0,0,0,0,14609,0,1,17.9963,1,0,1,0,0,1,1,0,0,0,0
9,0,816.652,1,1,1,7829,0,0,18.4423,1,0,1,0,0,1,1,0,0,0,0,701,0,1,13.5118,1,0,1,0,0,1,1,0,0,0,0
10,1,789.464,0,1,1,1183,1,0,22.7338,1,1,0,0,0,1,1,0,0,0,0,4305,1,1,19.5441,1,1,0,0,0,1,1,1,0,0,0
11,1,451.853,0,1,1,2587,1,0,17.0295,1,1,0,0,0,1,1,1,0,0,0,4642,0,1,14.8029,1,1,0,0,0,1,1,0,0,0,0
12,1,508.841,0,1,1,4312,0,0,51.5157,1,1,0,0,0,1,1,0,0,0,0,5763,0,1,42.071,1,1,0,0,0,1,1,1,0,0,0
13,1,233.394,0,1,1,6901,1,0,18.9587,1,1,0,0,0,1,1,0,0,0,0,7681,1,1,16.3628,1,1,0,0,0,1,1,1,0,0,0
14,1,808.44,0,1,1,7558,1,0,22.4414,1,1,0,0,0,1,1,1,0,0,0,16238,0,1,16.5384,1,1,0,0,0,1,1,1,0,0,0
15,1,27.8673,0,1,1,12317,0,0,18.6525,1,1,0,0,0,1,1,1,0,0,0,16971,0,1,15.87,1,1,0,0,0,1,1,1,0,0,0
16,1,140.45,0,1,1,13399,0,0,24.9279,1,1,0,0,0,1,1,0,0,0,0,11937,0,1,18.2808,1,1,0,0,0,1,1,1,0,0,0
17,1,833.663,0,1,1,16751,1,0,23.386,1,1,0,0,0,1,1,0,0,0,0,6135,1,1,20.3444,1,1,0,0,0,1,1,3,0,0,0
18,1,981.091,0,1,1,17392,1,0,22.7834,1,1,0,0,0,1,1,3,0,0,0,9027,1,1,23.5698,1,1,0,0,0,1,1,1,0,0,0
