Time, NodeID, NumIndividuals, NumInfected,AvgParasiteDensity,AvgGametocyteDensity,NumInfections,NoMarkers,A,B,A-B
0,4,1000,0,0,0,0,0,0,0,0
0,3,1000,0,0,0,0,0,0,0,0
0,2,1000,0,0,0,0,0,0,0,0
0,1,1000,0,0,0,0,0,0,0,0
1,4,1000,0,0,0,0,0,0,0,0
1,3,1000,0,0,0,0,0,0,0,0
1,2,1000,0,0,0,0,0,0,0,0
1,1,1000,0,0,0,0,0,0,0,0
2,4,1000,0,0,0,0,0,0,0,0
2,3,1000,0,0,0,0,0,0,0,0
2,2,1000,0,0,0,0,0,0,0,0
2,1,1000,0,0,0,0,0,0,0,0
3,4,1000,0,0,0,0,0,0,0,0
3,3,1000,0,0,0,0,0,0,0,0
3,2,1000,0,0,0,0,0,0,0,0
3,1,1000,0,0,0,0,0,0,0,0
4,4,1000,0,0,0,0,0,0,0,0
4,3,1000,0,0,0,0,0,0,0,0
4,2,1000,0,0,0,0,0,0,0,0
4,1,1000,0,0,0,0,0,0,0,0
5,4,1000,0,0,0,0,0,0,0,0
5,3,1000,0,0,0,0,0,0,0,0
5,2,1000,0,0,0,0,0,0,0,0
5,1,1000,0,0,0,0,0,0,0,0
6,4,1000,0,0,0,0,0,0,0,0
6,3,1000,0,0,0,0,0,0,0,0
6,2,1000,0,0,0,0,0,0,0,0
6,1,1000,0,0,0,0,0,0,0,0
7,4,1000,0,0,0,0,0,0,0,0
7,3,1000,0,0,0,0,0,0,0,0
7,2,1000,0,0,0,0,0,0,0,0
7,1,1000,0,0,0,0,0,0,0,0
8,4,1000,0,0,0,0,0,0,0,0
8,3,1000,0,0,0,0,0,0,0,0
8,2,1000,0,0,0,0,0,0,0,0
8,1,1000,0,0,0,0,0,0,0,0
9,4,1000,0,0,0,0,0,0,0,0
9,3,1000,0,0,0,0,0,0,0,0
9,2,1000,0,0,0,0,0,0,0,0
9,1,1000,0,0,0,0,0,0,0,0
10,4,1000,1000,0,0,1000,0,0,0,1000
10,3,1000,1000,0,0,1000,0,0,1000,0
10,2,1000,1000,0,0,1000,0,1000,0,0
10,1,1000,1000,0,0,1000,1000,0,0,0
11,4,1000,1000,0,0,1000,0,0,0,1000
11,3,1000,1000,0,0,1000,0,0,1000,0
11,2,1000,1000,0,0,1000,0,1000,0,0
11,1,1000,1000,0,0,1000,1000,0,0,0
12,4,1000,1000,0,0,1000,0,0,0,1000
12,3,1000,1000,0,0,1000,0,0,1000,0
12,2,1000,1000,0,0,1000,0,1000,0,0
12,1,1000,1000,0,0,1000,1000,0,0,0
13,4,1000,1000,0,0,1000,0,0,0,1000
13,3,1000,1000,0,0,1000,0,0,1000,0
13,2,1000,1000,0,0,1000,0,1000,0,0
13,1,1000,1000,0,0,1000,1000,0,0,0
14,4,1000,1000,0,0,1000,0,0,0,1000
14,3,1000,1000,0,0,1000,0,0,1000,0
14,2,1000,1000,0,0,1000,0,1000,0,0
14,1,1000,1000,0,0,1000,1000,0,0,0
15,4,1000,1000,0,0,1000,0,0,0,1000
15,3,1000,1000,0,0,1000,0,0,1000,0
15,2,1000,1000,0,0,1000,0,1000,0,0
15,1,1000,1000,0,0,1000,1000,0,0,0
16,4,1000,1000,0.01296,0,1000,0,0,0,1000
16,3,1000,1000,0.0126924,0,1000,0,0,1000,0
16,2,1000,1000,0.0128877,0,1000,0,1000,0,0
16,1,1000,1000,0.0125368,0,1000,1000,0,0,0
17,4,1000,1000,0.0129544,0,1000,0,0,0,1000
17,3,1000,1000,0.0126869,0,1000,0,0,1000,0
17,2,1000,1000,0.0128821,0,1000,0,1000,0,0
17,1,1000,1000,0.0125317,0,1000,1000,0,0,0
18,4,1000,1000,0.20572,0,1000,0,0,0,1000
18,3,1000,1000,0.20147,0,1000,0,0,1000,0
18,2,1000,1000,0.204572,0,1000,0,1000,0,0
18,1,1000,1000,0.199015,0,1000,1000,0,0,0
19,4,1000,1000,0.20563,0,1000,0,0,0,1000
19,3,1000,1000,0.201382,0,1000,0,0,1000,0
19,2,1000,1000,0.204484,0,1000,0,1000,0,0
19,1,1000,1000,0.198934,0,1000,1000,0,0,0
20,4,1000,1000,3.20008,0,1000,0,0,0,1000
20,3,1000,1000,3.13395,0,1000,0,0,1000,0
20,2,1000,1000,3.18226,0,1000,0,1000,0,0
20,1,1000,1000,3.09601,0,1000,1000,0,0,0
21,4,1000,1000,3.1987,0,1000,0,0,0,1000
21,3,1000,1000,3.1326,0,1000,0,0,1000,0
21,2,1000,1000,3.1809,0,1000,0,1000,0,0
21,1,1000,1000,3.09475,0,1000,1000,0,0,0
22,4,1000,1000,49.7772,0,1000,0,0,0,1000
22,3,1000,1000,48.7483,0,1000,0,0,1000,0
22,2,1000,1000,49.5004,0,1000,0,1000,0,0
22,1,1000,1000,48.1619,0,1000,1000,0,0,0
23,4,1000,1000,49.7558,0,1000,0,0,0,1000
23,3,1000,1000,48.7272,0,1000,0,0,1000,0
23,2,1000,1000,49.4792,0,1000,0,1000,0,0
23,1,1000,1000,48.1424,0,1000,1000,0,0,0
24,4,1000,1000,774.269,0,1000,0,0,0,1000
24,3,1000,1000,758.257,0,1000,0,0,1000,0
24,2,1000,1000,769.968,0,1000,0,1000,0,0
24,1,1000,1000,749.199,0,1000,1000,0,0,0
25,4,1000,1000,751.436,0,1000,0,0,0,1000
25,3,1000,1000,736.159,0,1000,0,0,1000,0
25,2,1000,1000,747.705,0,1000,0,1000,0,0
25,1,1000,1000,728.84,0,1000,1000,0,0,0
26,4,1000,1000,10733.5,0,1000,0,0,0,1000
26,3,1000,1000,10512.4,0,1000,0,0,1000,0
26,2,1000,1000,10697.4,0,1000,0,1000,0,0
26,1,1000,1000,10488.6,0,1000,1000,0,0,0
27,4,1000,1000,7494.4,0,1000,0,0,0,1000
27,3,1000,1000,7420.29,0,1000,0,0,1000,0
27,2,1000,1000,7487.78,0,1000,0,1000,0,0
27,1,1000,1000,7395.25,0,1000,1000,0,0,0
28,4,1000,1000,61417.1,0,1000,0,0,0,1000
28,3,1000,1000,60954.7,0,1000,0,0,1000,0
28,2,1000,1000,61358.5,0,1000,0,1000,0,0
28,1,1000,1000,60734.1,0,1000,1000,0,0,0
29,4,1000,1000,27698.1,0,1000,0,0,0,1000
29,3,1000,1000,27565.8,0,1000,0,0,1000,0
29,2,1000,1000,27689.6,0,1000,0,1000,0,0
29,1,1000,1000,27507.6,0,1000,1000,0,0,0
30,4,1000,1000,127513,0,1000,0,0,0,1000
30,3,1000,1000,95190.4,0,1000,0,0,1000,0
30,2,1000,1000,53117,0,1000,0,1000,0,0
30,1,1000,1000,16505.9,0,1000,1000,0,0,0
31,4,1000,1000,25516.8,0.0650255,1000,0,0,0,1000
31,3,1000,1000,12832.3,0.0636809,1000,0,0,1000,0
31,2,1000,1000,3215.23,0.0646651,1000,0,1000,0,0
31,1,1000,1000,205.711,0.062926,1000,1000,0,0,0
32,4,1000,1000,69210.9,0.0492746,1000,0,0,0,1000
32,3,1000,1000,23135.9,0.0482523,1000,0,0,1000,0
32,2,1000,1000,2547.12,0.048996,1000,0,1000,0,0
32,1,1000,1000,31.6773,0.0476818,1000,1000,0,0,0
33,4,1000,1000,10483.1,1.04885,1000,0,0,0,1000
33,3,1000,1000,2371.3,1.02714,1000,0,0,1000,0
33,2,1000,1000,117.286,1.04304,1000,0,1000,0,0
33,1,1000,1000,0.288289,1.01505,1000,1000,0,0,0
34,4,1000,1000,23238.2,0.794747,1000,0,0,0,1000
34,3,1000,1000,3519.46,0.778304,1000,0,0,1000,0
34,2,1000,1000,77.9713,0.790337,1000,0,1000,0,0
34,1,1000,1000,0.039764,0.769166,1000,1000,0,0,0
35,4,1000,1000,2948.69,16.3361,1000,0,0,0,1000
35,3,1000,1000,306.147,15.9981,1000,0,0,1000,0
35,2,1000,1000,3.12129,16.2458,1000,0,1000,0,0
35,1,1000,1000,0.000353898,15.8109,1000,1000,0,0,0
36,4,1000,1000,5476.98,12.3784,1000,0,0,0,1000
