Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,221.494,0,1,1,4,0,0,24.02,1,1,0,0,0,1,1,0,0,0,0,251,0,1,25.4265,1,1,0,0,0,1,1,0,0,0,0
2,0,726.517,0,1,1,32,0,0,24.3524,1,1,0,0,0,1,1,0,0,0,0,418,0,1,18.2264,1,1,0,0,0,1,1,0,0,0,0
3,0,499.194,0,1,1,121,0,0,43.2242,1,1,0,0,0,1,1,0,0,0,0,421,0,1,32.9014,1,1,0,0,0,1,1,0,0,0,0
4,0,299.892,0,1,1,194,0,0,18.3382,1,1,0,0,0,1,1,0,0,0,0,565,0,1,19.4913,1,1,0,0,0,1,1,0,0,0,0
5,0,430.912,0,1,1,282,0,0,22.2297,1,1,0,0,0,1,1,0,0,0,0,339,0,1,24.6653,1,1,0,0,0,1,1,0,0,0,0
6,0,263.048,0,1,1,289,0,0,30.1882,1,1,0,0,0,1,1,0,0,0,0,590,0,1,18.9936,1,1,0,0,0,1,1,0,0,0,0
7,0,198.009,0,1,1,312,0,0,21.3031,1,1,0,0,0,1,1,0,0,0,0,7,0,1,20.2418,1,1,0,0,0,1,1,0,0,0,0
8,0,140.974,0,1,1,370,0,0,52.635,1,1,0,0,0,1,1,0,0,0,0,3435,0,1,56.354,1,1,0,0,0,1,1,0,0,0,0
9,0,557.542,0,1,1,450,0,0,42.0657,1,1,0,0,0,1,1,0,0,0,0,2420,0,1,32.9892,1,1,0,0,0,1,1,0,0,0,0
10,0,762.17,0,1,1,492,0,0,32.9879,1,1,0,0,0,1,1,0,0,0,0,406,0,1,27.9055,1,1,0,0,0,1,1,0,0,0,0
11,0,126.596,0,1,1,707,0,0,16.8307,1,1,0,0,0,1,1,0,0,0,0,246,0,1,22.281,1,1,0,0,0,1,1,0,0,0,0
12,0,136.575,0,1,1,712,0,0,17.4294,1,1,0,0,0,1,1,0,0,0,0,190,0,1,16.4456,1,1,0,0,0,1,1,0,0,0,0
13,0,327.354,0,1,1,728,0,0,25.4749,1,1,0,0,0,1,1,0,0,0,0,1371,0,1,19.2052,1,1,0,0,0,1,1,0,0,0,0
14,0,556.812,0,1,1,969,0,0,36.3821,1,1,0,0,0,1,1,0,0,0,0,465,0,1,27.5184,1,1,0,0,0,1,1,0,0,0,0
15,0,160.321,0,1,1,989,0,0,25.6979,1,1,0,0,0,1,1,0,0,0,0,711,0,1,23.797,1,1,0,0,0,1,1,0,0,0,0
16,0,343.069,0,1,1,991,0,0,32.8552,1,1,0,0,0,1,1,0,0,0,0,2757,0,1,42.6251,1,1,0,0,0,1,1,0,0,0,0
17,0,38.5349,0,1,1,992,0,0,46.9538,1,1,0,0,0,1,1,0,0,0,0,3307,0,1,33.3465,1,1,0,0,0,1,1,0,0,0,0
18,0,594.348,0,1,1,1103,0,0,25.0997,1,1,0,0,0,1,1,0,0,0,0,769,0,1,24.2043,1,1,0,0,0,1,1,0,0,0,0
19,0,132.079,0,1,1,1119,0,0,20.804,1,1,0,0,0,1,1,0,0,0,0,3400,0,1,33.4944,1,1,0,0,0,1,1,0,0,0,0
20,0,160.655,0,1,1,1195,0,0,18.5849,1,1,0,0,0,1,1,0,0,0,0,1551,0,1,19.7864,1,1,0,0,0,1,1,0,0,0,0
21,0,393.041,0,1,1,1223,0,0,36.5421,1,1,0,0,0,1,1,0,0,0,0,4255,0,1,34.6829,1,1,0,0,0,1,1,0,0,0,0
22,0,269.831,0,1,1,1237,0,0,17.8785,1,1,0,0,0,1,1,0,0,0,0,1018,0,1,24.1797,1,1,0,0,0,1,1,0,0,0,0
23,0,213.303,0,1,1,1244,0,0,20.8853,1,1,0,0,0,1,1,0,0,0,0,2076,0,1,17.5362,1,1,0,0,0,1,1,0,0,0,0
24,0,282.297,0,1,1,1316,0,0,23.9493,1,1,0,0,0,1,1,0,0,0,0,264,0,1,14.8802,1,1,0,0,0,1,1,0,0,0,0
25,0,161.948,0,1,1,1327,0,0,37.9719,1,1,0,0,0,1,1,0,0,0,0,1032,0,1,29.9806,1,1,0,0,0,1,1,0,0,0,0
26,0,387.191,0,1,1,1328,0,0,23.8877,1,1,0,0,0,1,1,0,0,0,0,1038,0,1,25.2475,1,1,0,0,0,1,1,0,0,0,0
27,0,320.455,0,1,1,1391,0,0,23.9679,1,1,0,0,0,1,1,0,0,0,0,454,0,1,22.0686,1,1,0,0,0,1,1,0,0,0,0
28,0,131.931,0,1,1,1510,0,0,26.244,1,1,0,0,0,1,1,0,0,0,0,296,0,1,16.8685,1,1,0,0,0,1,1,0,0,0,0
29,0,123.077,0,1,1,1514,0,0,20.9711,1,1,0,0,0,1,1,0,0,0,0,579,0,1,22.3842,1,1,0,0,0,1,1,0,0,0,0
30,0,1244.04,0,1,1,1593,0,0,27.7156,1,1,0,0,0,1,1,0,0,0,0,1504,0,1,22.3139,1,1,0,0,0,1,1,0,0,0,0
31,0,375.112,0,1,1,1659,0,0,20.0828,1,1,0,0,0,1,1,0,0,0,0,2297,0,1,17.9235,1,1,0,0,0,1,1,0,0,0,0
32,0,235.824,0,1,1,1753,0,0,29.4349,1,1,0,0,0,1,1,0,0,0,0,1169,0,1,24.6359,1,1,0,0,0,1,1,0,0,0,0
33,0,341.193,0,1,1,1767,0,0,16.9341,1,1,0,0,0,1,1,0,0,0,0,2301,0,1,17.8215,1,1,0,0,0,1,1,0,0,0,0
34,0,831.527,0,1,1,1806,0,0,16.8011,1,1,0,0,0,1,1,0,0,0,0,397,0,1,16.13,1,1,0,0,0,1,1,0,0,0,0
35,0,41.758,0,1,1,1854,0,0,18.9021,1,1,0,0,0,1,1,0,0,0,0,3158,0,1,17.6077,1,1,0,0,0,1,1,0,0,0,0
36,0,92.1482,0,1,1,1863,0,0,36.0013,1,1,0,0,0,1,1,0,0,0,0,6183,0,1,33.5018,1,1,0,0,0,1,1,0,0,0,0
37,0,738.413,0,1,1,1884,0,0,24.588,1,1,0,0,0,1,1,0,0,0,0,2234,0,1,22.7539,1,1,0,0,0,1,1,0,0,0,0
38,0,52.1493,0,1,1,1886,0,0,23.8214,1,1,0,0,0,1,1,0,0,0,0,3306,0,1,18.7947,1,1,0,0,0,1,1,0,0,0,0
39,0,239.937,0,1,1,1938,0,0,39.7488,1,1,0,0,0,1,1,0,0,0,0,729,0,1,30.3858,1,1,0,0,0,1,1,0,0,0,0
40,0,109.28,0,1,1,2070,0,0,39.478,1,1,0,0,0,1,1,0,0,0,0,1833,0,1,25.0084,1,1,0,0,0,1,1,0,0,0,0
41,0,263.435,0,1,1,2109,0,0,29.0705,1,1,0,0,0,1,1,0,0,0,0,1647,0,1,29.737,1,1,0,0,0,1,1,0,0,0,0
42,0,105.557,0,1,1,2142,0,0,22.2116,1,1,0,0,0,1,1,0,0,0,0,3449,0,1,17.6407,1,1,0,0,0,1,1,0,0,0,0
43,0,122.097,0,1,1,2147,0,0,29.2691,1,1,0,0,0,1,1,0,0,0,0,6536,0,1,33.6924,1,1,0,0,0,1,1,0,0,0,0
44,0,643.103,0,1,1,2195,0,0,16.7022,1,1,0,0,0,1,1,0,0,0,0,3566,0,1,19.9673,1,1,0,0,0,1,1,0,0,0,0
45,0,341.576,0,1,1,2199,0,0,33.2471,1,1,0,0,0,1,1,0,0,0,0,7522,0,1,33.8296,1,1,0,0,0,1,1,0,0,0,0
46,0,167.685,0,1,1,2253,0,0,57.0537,1,1,0,0,0,1,1,0,0,0,0,2418,0,1,47.3538,1,1,0,0,0,1,1,0,0,0,0
47,0,136.315,0,1,1,2258,0,0,42.6114,1,1,0,0,0,1,1,0,0,0,0,1361,0,1,36.1289,1,1,0,0,0,1,1,0,0,0,0
48,0,996.345,0,1,1,2298,0,0,28.3942,1,1,0,0,0,1,1,0,0,0,0,2278,0,1,24.5425,1,1,0,0,0,1,1,0,0,0,0
49,0,667.125,0,1,1,2315,0,0,17.6249,1,1,0,0,0,1,1,0,0,0,0,3820,0,1,17.8459,1,1,0,0,0,1,1,0,0,0,0
50,0,359.081,0,1,1,2355,0,0,28.1327,1,1,0,0,0,1,1,0,0,0,0,1732,0,1,21.5558,1,1,0,0,0,1,1,0,0,0,0
51,0,32.4569,0,1,1,2423,0,0,30.9428,1,1,0,0,0,1,1,0,0,0,0,737,0,1,16.7452,1,1,0,0,0,1,1,0,0,0,0
52,0,12.1897,0,1,1,2600,0,0,71.2631,1,1,0,0,0,1,1,0,0,0,0,691,0,1,62.3727,1,1,0,0,0,1,1,0,0,0,0
53,0,1264.3,0,1,1,2638,0,0,20.1819,1,1,0,0,0,1,1,0,0,0,0,3825,0,1,18.3154,1,1,0,0,0,1,1,0,0,0,0
54,0,573.129,0,1,1,2655,0,0,31.8906,1,1,0,0,0,1,1,0,0,0,0,1353,0,1,31.4026,1,1,0,0,0,1,1,0,0,0,0
55,0,153.501,0,1,1,2659,0,0,54.5814,1,1,0,0,0,1,1,0,0,0,0,6272,0,1,49.2238,1,1,0,0,0,1,1,0,0,0,0
56,0,91.2227,0,1,1,2668,0,0,23.5476,1,1,0,0,0,1,1,0,0,0,0,851,0,1,17.0028,1,1,0,0,0,1,1,0,0,0,0
57,0,74.3131,0,1,1,2687,0,0,23.6204,1,1,0,0,0,1,1,0,0,0,0,2318,0,1,24.5498,1,1,0,0,0,1,1,0,0,0,0
58,0,12.8479,0,1,1,2738,0,0,23.4837,1,1,0,0,0,1,1,0,0,0,0,899,0,1,16.4679,1,1,0,0,0,1,1,0,0,0,0
59,0,123.785,0,1,1,2759,0,0,46.4319,1,1,0,0,0,1,1,0,0,0,0,1910,0,1,25.8717,1,1,0,0,0,1,1,0,0,0,0
60,0,169.488,0,1,1,2783,0,0,42.013,1,1,0,0,0,1,1,0,0,0,0,1848,0,1,20.8074,1,1,0,0,0,1,1,0,0,0,0
61,0,81.5535,0,1,1,2811,0,0,17.751,1,1,0,0,0,1,1,0,0,0,0,1013,0,1,16.6593,1,1,0,0,0,1,1,0,0,0,0
62,0,287.422,0,1,1,2921,0,0,20.4555,1,1,0,0,0,1,1,0,0,0,0,1397,0,1,17.1315,1,1,0,0,0,1,1,0,0,0,0
63,0,1011.19,0,1,1,2925,0,0,32.8475,1,1,0,0,0,1,1,0,0,0,0,2079,0,1,27.2214,1,1,0,0,0,1,1,0,0,0,0
