Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,29,899.012,0,1,1,3088,1,0,41.4975,1,1,0,0,0,1,1,0,0,0,0,7078,0,1,26.2318,1,1,0,0,0,1,1,0,0,0,0
2,29,73.7088,0,1,1,4683,0,0,30.0535,1,1,0,0,0,1,1,0,0,0,0,8138,0,1,22.0288,1,1,0,0,0,1,1,0,0,0,0
3,29,457.345,0,1,1,4939,1,0,27.4079,1,1,0,0,0,1,1,0,0,0,0,6119,0,1,21.3458,1,1,0,0,0,1,1,0,0,0,0
4,29,82.5867,0,1,1,5877,0,0,19.8962,1,1,0,0,0,1,1,0,0,0,0,13608,0,1,17.8105,1,1,0,0,0,1,1,0,0,0,0
5,29,330.047,0,1,1,7526,1,0,18.8226,1,1,0,0,0,1,1,0,0,0,0,385,1,1,19.9573,1,1,0,0,0,1,1,0,0,0,0
6,29,930.531,0,1,1,10723,0,0,22.1637,1,1,0,0,0,1,1,0,0,0,0,10688,0,1,24.099,1,1,0,0,0,1,1,0,0,0,0
7,29,268.092,0,1,1,6311,0,0,28.9356,1,1,0,0,0,1,1,0,0,0,0,1036,0,1,29.0857,1,1,0,0,0,1,1,0,0,0,0
8,29,184.479,0,1,1,10676,1,0,15.5375,1,1,0,0,0,1,1,0,0,0,0,11580,0,1,22.0426,1,1,0,0,0,1,1,0,0,0,0
9,29,1523.21,0,1,1,13271,0,0,25.1893,1,1,0,0,0,1,1,0,0,0,0,9085,0,1,23.0067,1,1,0,0,0,1,1,0,0,0,0
10,29,742.972,0,1,1,13328,1,0,20.2384,1,1,0,0,0,1,1,0,0,0,0,8246,0,1,19.3722,1,1,0,0,0,1,1,0,0,0,0
11,29,368.491,0,1,1,2069,0,0,19.4356,1,1,0,0,0,1,1,0,0,0,0,645,0,1,26.1373,1,1,0,0,0,1,1,0,0,0,0
12,29,742.119,0,1,1,3644,0,0,27.2251,1,1,0,0,0,1,1,0,0,0,0,15453,0,1,20.7789,1,1,0,0,0,1,1,0,0,0,0
13,29,314.354,0,1,1,9773,0,0,24.9248,1,1,0,0,0,1,1,0,0,0,0,15840,0,1,21.9083,1,1,0,0,0,1,1,0,0,0,0
14,29,340.587,0,1,1,9967,0,0,19.31,1,1,0,0,0,1,1,0,0,0,0,9794,0,1,17.2955,1,1,0,0,0,1,1,0,0,0,0
15,29,241.976,0,1,1,10436,0,0,25.1415,1,1,0,0,0,1,1,0,0,0,0,5410,1,1,18.9634,1,1,0,0,0,1,1,0,0,0,0
16,29,327.079,0,1,1,10815,0,0,42.4161,1,1,0,0,0,1,1,0,0,0,0,12398,0,1,27.8316,1,1,0,0,0,1,1,0,0,0,0
17,29,50.112,0,1,1,12309,0,0,27.2813,1,1,0,0,0,1,1,0,0,0,0,12608,0,1,19.4958,1,1,0,0,0,1,1,0,0,0,0
18,29,217.105,0,1,1,14273,0,0,25.0013,1,1,0,0,0,1,1,0,0,0,0,13122,0,1,22.2192,1,1,0,0,0,1,1,0,0,0,0
19,29,832.541,0,1,1,14908,0,0,54.7951,1,1,0,0,0,1,1,0,0,0,0,1824,0,1,50.4799,1,1,0,0,0,1,1,0,0,0,0
20,29,753.759,0,1,1,2975,0,0,17.4188,1,1,0,0,0,1,1,0,0,0,0,11588,0,1,17.2773,1,1,0,0,0,1,1,0,0,0,0
21,29,602.769,0,1,1,6717,0,0,25.0392,1,1,0,0,0,1,1,0,0,0,0,11034,0,1,16.9178,1,1,0,0,0,1,1,0,0,0,0
22,29,361.769,0,1,1,8629,0,0,21.6569,1,1,0,0,0,1,1,0,0,0,0,10214,0,1,18.6662,1,1,0,0,0,1,1,0,0,0,0
23,29,254.738,0,1,1,10798,0,0,21.7331,1,1,0,0,0,1,1,0,0,0,0,3307,0,1,18.8742,1,1,0,0,0,1,1,0,0,0,0
24,29,55.8451,0,1,1,15367,0,0,29.0297,1,1,0,0,0,1,1,0,0,0,0,17228,0,1,24.6665,1,1,0,0,0,1,1,0,0,0,0
25,29,292.644,0,1,1,2901,0,0,19.8469,1,1,0,0,0,1,1,0,0,0,0,6147,0,1,22.9665,1,1,0,0,0,1,1,0,0,0,0
26,29,566.124,0,1,1,3152,0,0,23.6069,1,1,0,0,0,1,1,0,0,0,0,16579,0,1,24.2114,1,1,0,0,0,1,1,0,0,0,0
27,29,432.324,0,1,1,4446,0,0,34.202,1,1,0,0,0,1,1,0,0,0,0,13805,0,1,20.42,1,1,0,0,0,1,1,0,0,0,0
28,29,85.7151,0,1,1,5240,0,0,23.511,1,1,0,0,0,1,1,0,0,0,0,7029,0,1,16.9293,1,1,0,0,0,1,1,0,0,0,0
29,29,584.69,0,1,1,5789,0,0,22.715,1,1,0,0,0,1,1,0,0,0,0,11349,0,1,19.0834,1,1,0,0,0,1,1,0,0,0,0
30,29,90.5378,0,1,1,9281,0,0,19.2863,1,1,0,0,0,1,1,0,0,0,0,10347,0,1,35.5332,1,1,0,0,0,1,1,0,0,0,0
31,29,69.6032,0,1,1,13520,0,0,21.0914,1,1,0,0,0,1,1,0,0,0,0,17272,0,1,17.9851,1,1,0,0,0,1,1,0,0,0,0
32,29,463.977,0,1,1,5150,0,0,24.7042,1,1,0,0,0,1,1,0,0,0,0,6735,0,1,17.5509,1,1,0,0,0,1,1,0,0,0,0
33,29,75.5443,0,1,1,5641,0,0,16.9052,1,1,0,0,0,1,1,0,0,0,0,7726,0,1,17.0812,1,1,0,0,0,1,1,0,0,0,0
34,29,215.99,0,1,1,9604,0,0,17.9708,1,1,0,0,0,1,1,0,0,0,0,16151,0,1,20.072,1,1,0,0,0,1,1,0,0,0,0
35,29,867.654,0,1,1,13359,0,0,18.0324,1,1,0,0,0,1,1,0,0,0,0,8775,0,1,22.5526,1,1,0,0,0,1,1,0,0,0,0
36,29,279.448,0,1,1,15449,0,0,18.9712,1,1,0,0,0,1,1,0,0,0,0,8820,0,1,15.2406,1,1,0,0,0,1,1,0,0,0,0
37,29,260.782,0,1,1,16381,0,0,22.517,1,1,0,0,0,1,1,0,0,0,0,11911,0,1,27.9381,1,1,0,0,0,1,1,0,0,0,0
