Time, NodeID, NumIndividuals, NumInfected,AvgParasiteDensity,AvgGametocyteDensity,NumInfections
0,7,1000,0,0,0,0
0,6,1000,0,0,0,0
0,5,1000,0,0,0,0
0,4,1000,0,0,0,0
0,3,1000,0,0,0,0
0,2,1000,0,0,0,0
0,1,1000,0,0,0,0
1,7,1000,0,0,0,0
1,6,1000,0,0,0,0
1,5,1000,0,0,0,0
1,4,1000,0,0,0,0
1,3,1000,0,0,0,0
1,2,1000,0,0,0,0
1,1,1000,0,0,0,0
2,7,1000,0,0,0,0
2,6,1000,0,0,0,0
2,5,1000,0,0,0,0
2,4,1000,0,0,0,0
2,3,1000,0,0,0,0
2,2,1000,0,0,0,0
2,1,1000,0,0,0,0
3,7,1000,0,0,0,0
3,6,1000,0,0,0,0
3,5,1000,0,0,0,0
3,4,1000,0,0,0,0
3,3,1000,0,0,0,0
3,2,1000,0,0,0,0
3,1,1000,0,0,0,0
4,7,1000,0,0,0,0
4,6,1000,0,0,0,0
4,5,1000,0,0,0,0
4,4,1000,0,0,0,0
4,3,1000,0,0,0,0
4,2,1000,0,0,0,0
4,1,1000,0,0,0,0
5,7,1000,0,0,0,0
5,6,1000,0,0,0,0
5,5,1000,0,0,0,0
5,4,1000,0,0,0,0
5,3,1000,0,0,0,0
5,2,1000,0,0,0,0
5,1,1000,0,0,0,0
6,7,1000,0,0,0,0
6,6,1000,0,0,0,0
6,5,1000,0,0,0,0
6,4,1000,0,0,0,0
6,3,1000,0,0,0,0
6,2,1000,0,0,0,0
6,1,1000,0,0,0,0
7,7,1000,0,0,0,0
7,6,1000,0,0,0,0
7,5,1000,0,0,0,0
7,4,1000,0,0,0,0
7,3,1000,0,0,0,0
7,2,1000,0,0,0,0
7,1,1000,0,0,0,0
8,7,1000,0,0,0,0
8,6,1000,0,0,0,0
8,5,1000,0,0,0,0
8,4,1000,0,0,0,0
8,3,1000,0,0,0,0
8,2,1000,0,0,0,0
8,1,1000,0,0,0,0
9,7,1000,0,0,0,0
9,6,1000,0,0,0,0
9,5,1000,0,0,0,0
9,4,1000,0,0,0,0
9,3,1000,0,0,0,0
9,2,1000,0,0,0,0
9,1,1000,0,0,0,0
10,7,1000,1000,0,0,1000
10,6,1000,1000,0,0,1000
10,5,1000,1000,0,0,1000
10,4,1000,1000,0,0,1000
10,3,1000,1000,0,0,1000
10,2,1000,1000,0,0,1000
10,1,1000,1000,0,0,1000
11,7,1000,1000,0,0,1000
11,6,1000,1000,0,0,1000
11,5,1000,1000,0,0,1000
11,4,1000,1000,0,0,1000
11,3,1000,1000,0,0,1000
11,2,1000,1000,0,0,1000
11,1,1000,1000,0,0,1000
12,7,1000,1000,0,0,1000
12,6,1000,1000,0,0,1000
12,5,1000,1000,0,0,1000
12,4,1000,1000,0,0,1000
12,3,1000,1000,0,0,1000
12,2,1000,1000,0,0,1000
12,1,1000,1000,0,0,1000
13,7,1000,1000,0,0,1000
13,6,1000,1000,0,0,1000
13,5,1000,1000,0,0,1000
13,4,1000,1000,0,0,1000
13,3,1000,1000,0,0,1000
13,2,1000,1000,0,0,1000
13,1,1000,1000,0,0,1000
14,7,1000,1000,0,0,1000
14,6,1000,1000,0,0,1000
14,5,1000,1000,0,0,1000
14,4,1000,1000,0,0,1000
14,3,1000,1000,0,0,1000
14,2,1000,1000,0,0,1000
14,1,1000,1000,0,0,1000
15,7,1000,1000,0,0,1000
15,6,1000,1000,0,0,1000
15,5,1000,1000,0,0,1000
15,4,1000,1000,0,0,1000
15,3,1000,1000,0,0,1000
15,2,1000,1000,0,0,1000
15,1,1000,1000,0,0,1000
16,7,1000,1000,0.0127187,0,1000
16,6,1000,1000,0.013,0,1000
16,5,1000,1000,0.0119287,0,1000
16,4,1000,1000,0.0129895,0,1000
16,3,1000,1000,0.0126669,0,1000
16,2,1000,1000,0.0122374,0,1000
