Time,Node_ID,Rel_ID,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
6,1,1,2,9,MALE,FEMALE,47.36,44.3533,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,12,2,7,MALE,FEMALE,47.36,42.5665,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,13,2,16,MALE,FEMALE,47.36,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,2,4,11,MALE,FEMALE,31.1513,47.9375,0,0,0,1,3,0,0,0,0,-1,-1,0,0
6,1,8,5,6,MALE,FEMALE,48.864,17.239,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,9,5,13,MALE,FEMALE,48.864,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,14,5,16,MALE,FEMALE,48.864,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,3,8,11,MALE,FEMALE,39.0833,47.9375,0,0,0,2,3,0,0,0,0,-1,-1,0,0
6,1,10,8,13,MALE,FEMALE,39.0833,40.4999,0,0,0,2,3,0,0,0,0,-1,-1,0,0
6,1,4,15,11,MALE,FEMALE,20.6905,47.9375,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,11,15,13,MALE,FEMALE,20.6905,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,15,15,16,MALE,FEMALE,20.6905,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,5,17,14,MALE,FEMALE,33.3501,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
6,1,6,18,14,MALE,FEMALE,9.00165,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
6,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
8,1,3,8,11,MALE,FEMALE,39.0833,47.9375,0,0,0,2,3,0,0,0,0,-1,-1,0,0
8,1,3,8,11,MALE,FEMALE,39.0833,47.9375,0,0,0,2,3,0,0,0,0,-1,-1,0,0
8,1,10,8,13,MALE,FEMALE,39.0833,40.4999,0,0,0,2,3,0,0,0,0,-1,-1,0,0
8,1,4,15,11,MALE,FEMALE,20.6905,47.9375,0,0,0,3,3,0,0,0,0,-1,-1,0,0
8,1,5,17,14,MALE,FEMALE,33.3501,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
8,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
9,1,9,5,13,MALE,FEMALE,48.864,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
9,1,3,8,11,MALE,FEMALE,39.0833,47.9375,0,0,0,2,3,0,0,0,0,-1,-1,0,0
9,1,6,18,14,MALE,FEMALE,9.00165,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
10,1,12,2,7,MALE,FEMALE,47.36,42.5665,0,0,0,3,1,0,0,0,0,-1,-1,0,0
11,1,1,2,9,MALE,FEMALE,47.36,44.3533,0,0,0,3,1,0,0,0,0,-1,-1,0,0
11,1,11,15,13,MALE,FEMALE,20.6905,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
11,1,6,18,14,MALE,FEMALE,9.00165,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
12,1,4,15,11,MALE,FEMALE,20.6905,47.9375,0,0,0,3,3,0,0,0,0,-1,-1,0,0
13,1,5,17,14,MALE,FEMALE,33.3501,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
15,1,12,2,7,MALE,FEMALE,47.36,42.5665,0,0,0,3,1,0,0,0,0,-1,-1,0,0
15,1,2,4,11,MALE,FEMALE,31.1513,47.9375,0,0,0,1,3,0,0,0,0,-1,-1,0,0
17,1,10,8,13,MALE,FEMALE,39.0833,40.4999,0,0,0,2,3,0,0,0,0,-1,-1,0,0
18,1,1,2,9,MALE,FEMALE,47.36,44.3533,0,0,0,3,1,0,0,0,0,-1,-1,0,0
18,1,9,5,13,MALE,FEMALE,48.864,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
19,1,15,15,16,MALE,FEMALE,20.6905,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
20,1,6,18,14,MALE,FEMALE,9.00165,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
20,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
21,1,9,5,13,MALE,FEMALE,48.864,40.4999,0,0,0,3,3,0,0,0,0,-1,-1,0,0
21,1,10,8,13,MALE,FEMALE,39.0833,40.4999,0,0,0,2,3,0,0,0,0,-1,-1,0,0
21,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
22,1,2,4,11,MALE,FEMALE,31.1513,47.9375,0,0,0,1,3,0,0,0,0,-1,-1,0,0
23,1,1,2,9,MALE,FEMALE,47.36,44.3533,0,0,0,3,1,0,0,0,0,-1,-1,0,0
23,1,15,15,16,MALE,FEMALE,20.6905,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
24,1,8,5,6,MALE,FEMALE,48.864,17.239,0,0,0,3,1,0,0,0,0,-1,-1,0,0
24,1,4,15,11,MALE,FEMALE,20.6905,47.9375,0,0,0,3,3,0,0,0,0,-1,-1,0,0
25,1,15,15,16,MALE,FEMALE,20.6905,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
25,1,6,18,14,MALE,FEMALE,9.00165,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
27,1,8,5,6,MALE,FEMALE,48.864,17.239,0,0,0,3,1,0,0,0,0,-1,-1,0,0
27,1,15,15,16,MALE,FEMALE,20.6905,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
28,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
28,1,7,21,14,MALE,FEMALE,25.2027,28.4279,0,0,0,1,3,0,0,0,0,-1,-1,0,0
29,1,1,2,9,MALE,FEMALE,47.36,44.3533,0,0,0,3,1,0,0,0,0,-1,-1,0,0
29,1,13,2,16,MALE,FEMALE,47.36,4.38955,0,0,0,3,3,0,0,0,0,-1,-1,0,0
