Year, NodeId, Gender, IP_Key:Accessibility, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1995.5,1,0,Yes,0,16,3,12,0,2,2,9,9,1,6,7
1995.5,1,0,Yes,1,18,9,12,0,6,5,4,4,4,5,0
1995.5,1,0,Yes,2,16,7,11,0,3,2,1,1,1,6,0
1995.5,1,0,Yes,3,15,6,11,0,3,3,0,0,0,4,0
1995.5,1,0,Yes,4,23,8,13,0,3,3,1,1,1,7,0
1995.5,1,0,Yes,5,18,7,12,0,1,1,3,3,3,5,0
1995.5,1,0,Yes,6,9,4,6,0,3,3,1,1,1,3,0
1995.5,1,0,Yes,7,8,2,5,0,2,2,1,1,1,4,0
1995.5,1,0,Yes,8,16,7,9,0,1,1,0,0,0,5,0
1995.5,1,0,Yes,9,14,8,7,0,2,2,3,3,3,5,0
1995.5,1,0,Yes,10,10,6,7,0,2,2,0,0,0,5,0
1995.5,1,0,Yes,11,7,5,11,0,1,1,3,3,3,6,0
1995.5,1,0,Yes,12,10,6,9,0,1,1,3,3,3,5,0
1995.5,1,0,Yes,13,12,5,7,0,6,6,1,1,1,6,0
1995.5,1,0,Yes,14,16,4,3,0,2,2,1,1,1,1,0
1995.5,1,0,Yes,15,12,6,5,0,0,0,2,2,2,1,0
1995.5,1,0,Yes,16,12,4,15,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,17,18,12,9,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,18,23,12,11,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,19,11,4,5,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,20,10,7,5,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,21,12,5,8,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,22,7,3,8,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,23,11,4,6,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,24,12,7,5,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,25,9,5,3,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,26,10,3,7,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,27,10,6,9,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,28,10,7,7,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,29,14,8,9,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,30,16,10,3,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,31,5,3,8,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,32,12,6,5,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,33,11,6,2,0,0,0,0,0,0,1,0
1995.5,1,0,Yes,34,7,3,5,0,0,0,0,0,0,2,0
1995.5,1,0,Yes,35,5,1,4,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,36,4,2,5,0,0,0,0,0,0,0,0
