Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
0,100,1000,48,SPRAYED_B,RURAL,HIGH
0,99,990,53,SPRAYED_A,URBAN,LOW
0,98,980,46,NONE,RURAL,LOW
0,97,970,46,SPRAYED_A,URBAN,MED
0,96,960,52,NONE,RURAL,HIGH
0,95,950,44,FENCE_AND_TRAP,RURAL,MED
0,94,940,37,SPRAYED_B,URBAN,MED
0,93,930,46,FENCE_AND_TRAP,RURAL,MED
0,92,920,50,SPRAYED_B,RURAL,MED
0,91,910,50,SPRAYED_A,URBAN,LOW
0,90,900,41,SPRAYED_A,URBAN,LOW
0,89,890,43,SPRAYED_A,RURAL,LOW
0,88,880,47,NONE,RURAL,HIGH
0,87,870,43,SPRAYED_B,URBAN,LOW
0,86,860,42,NONE,URBAN,LOW
0,85,850,36,SPRAYED_A,RURAL,LOW
0,84,840,40,NONE,RURAL,LOW
0,83,830,46,SPRAYED_A,URBAN,HIGH
0,82,820,38,SPRAYED_B,RURAL,LOW
0,81,810,45,SPRAYED_A,RURAL,LOW
0,80,800,41,NONE,URBAN,MED
0,79,790,35,NONE,URBAN,MED
0,78,780,38,SPRAYED_A,RURAL,LOW
0,77,770,29,NONE,URBAN,HIGH
0,76,760,33,SPRAYED_B,RURAL,LOW
0,75,750,34,NONE,RURAL,LOW
0,74,740,31,FENCE_AND_TRAP,RURAL,MED
0,73,730,48,NONE,RURAL,LOW
0,72,720,39,NONE,RURAL,LOW
0,71,710,42,SPRAYED_A,RURAL,LOW
0,70,700,30,NONE,RURAL,MED
0,69,690,51,SPRAYED_A,URBAN,LOW
0,68,680,46,NONE,URBAN,HIGH
0,67,670,32,NONE,URBAN,LOW
0,66,660,36,NONE,RURAL,LOW
0,65,650,27,NONE,URBAN,LOW
0,64,640,30,SPRAYED_B,RURAL,LOW
0,63,630,31,SPRAYED_A,URBAN,HIGH
0,62,620,27,SPRAYED_B,RURAL,LOW
0,61,610,30,SPRAYED_B,URBAN,LOW
0,60,600,34,SPRAYED_A,RURAL,LOW
0,59,590,34,FENCE_AND_TRAP,URBAN,LOW
0,58,580,13,NONE,URBAN,LOW
0,57,570,32,NONE,URBAN,LOW
0,56,560,27,SPRAYED_A,RURAL,LOW
0,55,550,27,SPRAYED_A,RURAL,LOW
0,54,540,24,FENCE_AND_TRAP,RURAL,LOW
0,53,530,24,SPRAYED_A,RURAL,LOW
0,52,520,23,SPRAYED_A,URBAN,MED
0,51,510,30,SPRAYED_B,URBAN,LOW
0,50,500,22,FENCE_AND_TRAP,RURAL,LOW
0,49,490,28,SPRAYED_A,RURAL,HIGH
0,48,480,18,SPRAYED_B,URBAN,LOW
0,47,470,17,SPRAYED_B,RURAL,LOW
0,46,460,18,NONE,RURAL,LOW
0,45,450,22,SPRAYED_B,RURAL,MED
0,44,440,24,NONE,RURAL,LOW
0,43,430,24,NONE,RURAL,LOW
0,42,420,18,SPRAYED_B,RURAL,LOW
0,41,410,20,SPRAYED_B,RURAL,LOW
0,40,400,16,NONE,URBAN,MED
0,39,390,23,SPRAYED_B,RURAL,LOW
0,38,380,20,FENCE_AND_TRAP,URBAN,MED
0,37,370,29,NONE,URBAN,LOW
0,36,360,17,NONE,RURAL,LOW
0,35,350,15,SPRAYED_A,RURAL,MED
0,34,340,19,NONE,RURAL,MED
0,33,330,15,NONE,RURAL,MED
0,32,320,21,NONE,URBAN,LOW
0,31,310,15,SPRAYED_B,RURAL,LOW
0,30,300,9,SPRAYED_B,URBAN,LOW
0,29,290,17,SPRAYED_B,RURAL,MED
0,28,280,13,SPRAYED_B,RURAL,LOW
0,27,270,16,NONE,URBAN,LOW
0,26,260,18,SPRAYED_B,URBAN,LOW
0,25,250,12,SPRAYED_B,RURAL,MED
0,24,240,9,NONE,URBAN,LOW
0,23,230,18,SPRAYED_B,RURAL,MED
0,22,220,14,NONE,RURAL,LOW
0,21,210,9,SPRAYED_A,RURAL,LOW
0,20,200,4,SPRAYED_B,URBAN,LOW
0,19,190,15,NONE,RURAL,LOW
0,18,180,11,SPRAYED_B,RURAL,LOW
0,17,170,6,SPRAYED_B,RURAL,LOW
0,16,160,7,NONE,RURAL,LOW
0,15,150,5,SPRAYED_B,URBAN,LOW
0,14,140,4,SPRAYED_A,URBAN,MED
0,13,130,8,FENCE_AND_TRAP,URBAN,LOW
0,12,120,6,NONE,URBAN,LOW
0,11,110,2,SPRAYED_B,URBAN,LOW
0,10,100,7,NONE,RURAL,LOW
0,9,90,4,SPRAYED_A,URBAN,LOW
0,8,80,2,SPRAYED_A,URBAN,LOW
0,7,70,2,SPRAYED_A,RURAL,LOW
0,6,60,5,NONE,RURAL,LOW
0,5,50,2,NONE,URBAN,LOW
0,4,40,2,SPRAYED_B,RURAL,LOW
0,3,30,0,SPRAYED_B,URBAN,LOW
0,2,20,0,FENCE_AND_TRAP,URBAN,LOW
0,1,10,0,NONE,RURAL,HIGH
1,100,1000,53,SPRAYED_B,RURAL,HIGH
1,99,990,51,SPRAYED_A,URBAN,LOW
1,98,980,50,NONE,RURAL,LOW
1,97,970,51,SPRAYED_A,URBAN,MED
1,96,960,55,NONE,RURAL,HIGH
1,95,950,44,FENCE_AND_TRAP,RURAL,MED
1,94,940,45,SPRAYED_B,URBAN,MED
1,93,930,46,FENCE_AND_TRAP,RURAL,MED
1,92,920,57,SPRAYED_B,RURAL,MED
1,91,910,54,SPRAYED_A,URBAN,LOW
1,90,900,49,SPRAYED_A,URBAN,LOW
1,89,890,45,SPRAYED_A,RURAL,LOW
1,88,880,48,NONE,RURAL,HIGH
1,87,871,48,SPRAYED_B,URBAN,LOW
1,86,860,49,NONE,URBAN,LOW
1,85,850,39,SPRAYED_A,RURAL,LOW
1,84,840,45,NONE,RURAL,LOW
1,83,830,52,SPRAYED_A,URBAN,HIGH
1,82,820,39,SPRAYED_B,RURAL,LOW
1,81,810,50,SPRAYED_A,RURAL,LOW
1,80,800,40,NONE,URBAN,MED
1,79,790,34,NONE,URBAN,MED
1,78,780,41,SPRAYED_A,RURAL,LOW
1,77,770,30,NONE,URBAN,HIGH
1,76,760,36,SPRAYED_B,RURAL,LOW
1,75,750,35,NONE,RURAL,LOW
1,74,740,38,FENCE_AND_TRAP,RURAL,MED
1,73,730,53,NONE,RURAL,LOW
1,72,720,43,NONE,RURAL,LOW
1,71,710,44,SPRAYED_A,RURAL,LOW
1,70,700,32,NONE,RURAL,MED
1,69,691,58,SPRAYED_A,URBAN,LOW
1,68,680,52,NONE,URBAN,HIGH
1,67,670,33,NONE,URBAN,LOW
1,66,660,37,NONE,RURAL,LOW
1,65,650,29,NONE,URBAN,LOW
1,64,640,36,SPRAYED_B,RURAL,LOW
1,63,630,32,SPRAYED_A,URBAN,HIGH
1,62,620,29,SPRAYED_B,RURAL,LOW
1,61,610,33,SPRAYED_B,URBAN,LOW
1,60,600,33,SPRAYED_A,RURAL,LOW
1,59,590,35,FENCE_AND_TRAP,URBAN,LOW
1,58,580,12,NONE,URBAN,LOW
1,57,570,33,NONE,URBAN,LOW
1,56,560,27,SPRAYED_A,RURAL,LOW
1,55,550,28,SPRAYED_A,RURAL,LOW
1,54,540,23,FENCE_AND_TRAP,RURAL,LOW
1,53,530,27,SPRAYED_A,RURAL,LOW
1,52,520,24,SPRAYED_A,URBAN,MED
1,51,510,30,SPRAYED_B,URBAN,LOW
1,50,500,21,FENCE_AND_TRAP,RURAL,LOW
1,49,490,31,SPRAYED_A,RURAL,HIGH
1,48,480,18,SPRAYED_B,URBAN,LOW
1,47,470,18,SPRAYED_B,RURAL,LOW
1,46,460,18,NONE,RURAL,LOW
1,45,450,23,SPRAYED_B,RURAL,MED
1,44,440,27,NONE,RURAL,LOW
1,43,431,27,NONE,RURAL,LOW
1,42,420,19,SPRAYED_B,RURAL,LOW
1,41,410,21,SPRAYED_B,RURAL,LOW
1,40,400,17,NONE,URBAN,MED
1,39,390,25,SPRAYED_B,RURAL,LOW
1,38,380,24,FENCE_AND_TRAP,URBAN,MED
1,37,370,34,NONE,URBAN,LOW
1,36,360,18,NONE,RURAL,LOW
1,35,350,17,SPRAYED_A,RURAL,MED
1,34,340,19,NONE,RURAL,MED
1,33,330,13,NONE,RURAL,MED
1,32,320,22,NONE,URBAN,LOW
1,31,310,16,SPRAYED_B,RURAL,LOW
1,30,300,10,SPRAYED_B,URBAN,LOW
1,29,290,18,SPRAYED_B,RURAL,MED
1,28,280,14,SPRAYED_B,RURAL,LOW
1,27,270,18,NONE,URBAN,LOW
1,26,260,21,SPRAYED_B,URBAN,LOW
1,25,250,13,SPRAYED_B,RURAL,MED
1,24,240,10,NONE,URBAN,LOW
1,23,230,22,SPRAYED_B,RURAL,MED
1,22,220,16,NONE,RURAL,LOW
1,21,210,9,SPRAYED_A,RURAL,LOW
1,20,200,3,SPRAYED_B,URBAN,LOW
1,19,190,15,NONE,RURAL,LOW
1,18,180,14,SPRAYED_B,RURAL,LOW
1,17,170,7,SPRAYED_B,RURAL,LOW
1,16,160,7,NONE,RURAL,LOW
1,15,150,5,SPRAYED_B,URBAN,LOW
1,14,140,4,SPRAYED_A,URBAN,MED
1,13,130,9,FENCE_AND_TRAP,URBAN,LOW
1,12,120,6,NONE,URBAN,LOW
1,11,110,2,SPRAYED_B,URBAN,LOW
1,10,100,7,NONE,RURAL,LOW
1,9,90,6,SPRAYED_A,URBAN,LOW
1,8,80,4,SPRAYED_A,URBAN,LOW
1,7,70,2,SPRAYED_A,RURAL,LOW
1,6,60,5,NONE,RURAL,LOW
1,5,50,4,NONE,URBAN,LOW
1,4,40,1,SPRAYED_B,RURAL,LOW
1,3,30,0,SPRAYED_B,URBAN,LOW
1,2,20,0,FENCE_AND_TRAP,URBAN,LOW
1,1,10,0,NONE,RURAL,HIGH
2,100,1000,53,SPRAYED_B,RURAL,HIGH
2,99,990,57,SPRAYED_A,URBAN,LOW
2,98,980,55,NONE,RURAL,LOW
2,97,970,56,SPRAYED_A,URBAN,MED
2,96,960,58,NONE,RURAL,HIGH
2,95,950,47,FENCE_AND_TRAP,RURAL,MED
2,94,940,53,SPRAYED_B,URBAN,MED
2,93,930,53,FENCE_AND_TRAP,RURAL,MED
2,92,920,59,SPRAYED_B,RURAL,MED
2,91,910,59,SPRAYED_A,URBAN,LOW
2,90,900,49,SPRAYED_A,URBAN,LOW
2,89,890,50,SPRAYED_A,RURAL,LOW
2,88,880,54,NONE,RURAL,HIGH
2,87,871,54,SPRAYED_B,URBAN,LOW
2,86,860,56,NONE,URBAN,LOW
2,85,850,48,SPRAYED_A,RURAL,LOW
2,84,840,52,NONE,RURAL,LOW
2,83,830,54,SPRAYED_A,URBAN,HIGH
2,82,820,45,SPRAYED_B,RURAL,LOW
2,81,810,57,SPRAYED_A,RURAL,LOW
2,80,800,43,NONE,URBAN,MED
2,79,790,40,NONE,URBAN,MED
2,78,780,45,SPRAYED_A,RURAL,LOW
2,77,770,34,NONE,URBAN,HIGH
2,76,760,43,SPRAYED_B,RURAL,LOW
2,75,750,41,NONE,RURAL,LOW
2,74,740,49,FENCE_AND_TRAP,RURAL,MED
2,73,730,62,NONE,RURAL,LOW
2,72,720,50,NONE,RURAL,LOW
2,71,710,46,SPRAYED_A,RURAL,LOW
2,70,700,37,NONE,RURAL,MED
2,69,691,66,SPRAYED_A,URBAN,LOW
2,68,680,56,NONE,URBAN,HIGH
2,67,670,36,NONE,URBAN,LOW
2,66,660,42,NONE,RURAL,LOW
2,65,650,31,NONE,URBAN,LOW
2,64,640,40,SPRAYED_B,RURAL,LOW
2,63,630,41,SPRAYED_A,URBAN,HIGH
2,62,620,28,SPRAYED_B,RURAL,LOW
2,61,610,37,SPRAYED_B,URBAN,LOW
2,60,600,32,SPRAYED_A,RURAL,LOW
2,59,590,40,FENCE_AND_TRAP,URBAN,LOW
2,58,580,13,NONE,URBAN,LOW
2,57,570,38,NONE,URBAN,LOW
2,56,560,31,SPRAYED_A,RURAL,LOW
2,55,550,32,SPRAYED_A,RURAL,LOW
2,54,540,27,FENCE_AND_TRAP,RURAL,LOW
2,53,530,32,SPRAYED_A,RURAL,LOW
