Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,4949.6,2,1,1,13857,0,0,57.3205,1,0,0,1,0,1,1,8,0,0,0,8474,0,1,48.7522,1,0,0,1,0,1,1,8,0,0,0
2,0,497.146,3,1,1,3116,0,0,16.3071,1,0,0,0,1,1,1,8,0,0,0,5529,0,1,39.1228,1,0,0,0,1,1,1,0,0,0,0
3,0,643.806,3,1,1,3287,0,0,27.235,1,0,0,0,1,1,1,12,0,0,0,6962,0,1,22.7231,1,0,0,0,1,1,1,8,0,0,0
4,0,204.469,3,1,1,5394,0,0,48.1753,1,0,0,0,1,1,1,8,0,0,0,16766,0,1,19.695,1,0,0,0,1,1,1,8,0,0,0
5,1,640.869,3,1,1,9479,0,0,25.3333,1,0,0,0,1,1,1,8,0,0,0,8496,0,1,18.7914,1,0,0,0,1,1,1,8,0,0,0
6,1,609.33,3,1,1,11684,1,0,18.1898,1,0,0,0,1,1,1,8,0,0,0,5683,0,1,14.2803,1,0,0,0,1,1,1,12,0,0,0
7,1,476.448,3,1,1,14536,0,0,42.7914,1,0,0,0,1,1,1,0,0,0,0,9994,0,1,14.9193,1,0,0,0,1,1,1,8,0,0,0
8,1,262.327,3,1,1,15781,0,0,45.7212,1,0,0,0,1,1,1,0,0,0,0,12730,0,1,39.4683,1,0,0,0,1,1,1,8,0,0,0
9,1,259.258,3,1,1,9641,0,0,53.7846,1,0,0,0,1,1,1,0,0,0,0,9274,1,1,23.6729,1,0,0,0,1,1,1,12,0,0,0
10,1,388.226,3,1,1,9886,0,0,36.1535,1,0,0,0,1,1,1,8,0,0,0,9955,0,1,31.7693,1,0,0,0,1,1,1,12,0,0,0
