Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
0,26,0,905,905,0,0,893,34300,0,0,0,95,0,0,0,0,40148.8,2191.83,4460.97,1,1,1
0,25,1,89,89,0,0,86,3100,26,1,0,7,4,0,3,22,967.231,53.3191,107.47,1,1,1
0,24,10,89,89,0,0,93,3200,2,0,0,4,6,1,8,18,680.194,36.2932,75.5771,1,1,1
0,23,15,175,175,0,0,175,6400,2,0,0,20,4,1,21,38,4580.15,247.155,508.906,1,1,1
0,22,0,367,367,0,0,352,11600,0,0,0,33,0,0,74,47,26997.4,1454.84,2999.71,1,1,1
0,21,0,366,366,0,0,353,13000,0,0,0,34,0,0,38,46,27694.3,1488.91,3077.14,1,1,1
0,20,10,82,82,0,0,97,3600,1,0,0,12,4,2,10,18,1555.56,83.8391,172.84,1,1,1
0,19,10,95,95,0,0,89,2800,0,0,0,5,0,0,22,22,2025.77,109.934,225.085,1,1,1
0,18,10,85,85,0,0,93,3300,2,0,0,13,2,0,17,12,632.26,34.6674,70.2511,1,1,1
0,17,5,180,180,0,0,172,6500,10,1,0,13,4,3,50,26,7380.47,396.376,820.052,1,1,1
0,16,0,356,356,0,0,353,13200,0,0,0,44,0,0,48,49,11484.9,613.22,1276.09,1,1,1
0,15,5,80,80,0,0,88,4000,3,1,0,18,1,1,7,23,816.362,44.7271,90.7069,1,1,1
0,14,0,89,89,0,0,88,3100,0,0,0,11,0,0,10,19,3245.66,173.628,360.629,1,1,1
0,13,10,91,91,0,0,92,3600,1,0,0,7,2,0,11,20,2676.35,147.803,297.372,1,1,1
0,12,15,89,89,0,0,93,3900,0,0,0,8,3,0,13,22,281.812,15.1694,31.3125,1,1,1
0,11,10,157,157,0,0,188,6900,4,0,0,37,4,2,12,30,750.975,41.1592,83.4417,1,1,1
0,10,10,39,39,0,0,46,1700,0,0,0,10,0,1,4,8,55.41,2.96708,6.15667,1,1,1
0,9,10,89,89,0,0,89,3200,1,0,0,9,2,0,9,27,2940.85,160.944,326.762,1,1,1
0,8,10,93,93,0,0,90,3100,0,0,0,6,1,0,13,19,2169.09,116.233,241.01,1,1,1
0,7,0,89,89,0,0,90,3300,0,0,0,11,0,0,8,26,949.973,50.6705,105.553,1,1,1
0,6,10,84,84,0,0,95,3100,1,0,0,15,0,1,3,27,986.607,53.7162,109.623,1,1,1
0,5,15,45,45,0,0,46,2300,0,0,0,3,1,1,1,13,749.984,40.6876,83.3316,1,1,1
0,4,5,43,43,0,0,45,1400,0,0,0,6,1,0,8,13,1330.61,71.4345,147.846,1,1,1
0,3,1,75,75,0,0,88,3100,17,7,0,20,3,2,7,20,995.063,54.2538,110.563,1,1,1
0,2,10,89,89,0,0,86,3600,1,0,0,9,2,0,6,27,396.886,21.9781,44.0985,1,1,1
0,1,5,86,86,0,0,88,2900,2,1,0,12,2,0,1,17,2397.2,128.974,266.355,1,1,1
1,26,0,810,810,0,0,795,29000,0,0,0,95,0,0,0,0,41306.7,872.806,1663.64,1,0.228316,0.330443
1,25,1,83,83,0,0,76,3100,20,4,0,9,0,0,4,13,1828.59,86.0452,178.399,1,0.0410147,0.0977001
1,24,9,73,73,0,0,83,3000,1,0,0,7,0,0,4,18,234.049,4.72096,10.3388,1,0.0329938,0.0472357
1,23,16,172,172,0,0,156,7000,1,0,0,16,0,0,30,20,3444,44.3725,85.6662,1,0.0950594,0.231321
1,22,0,377,377,0,0,317,13900,0,0,0,41,0,0,81,41,24086.9,199.403,300.651,1,0.354839,0.731637
1,21,0,438,438,0,0,307,18700,0,0,0,49,0,0,68,53,31642.9,563.749,1138.1,1,0.413585,0.55948
1,20,10,69,69,0,0,83,2600,1,0,0,5,0,0,3,14,2244.87,119.837,235.097,1,0.0931545,0.132954
1,19,8,71,71,0,0,76,4300,2,0,0,10,0,0,5,26,2817.04,97.8609,190.893,1,0.109934,0.225085
1,18,6,72,72,0,0,85,3000,3,0,0,12,0,0,12,14,199.529,14.6336,22.6143,0.63226,0.0288895,0.0638647
1,17,7,124,124,0,0,156,4400,3,1,0,15,0,0,31,15,8819.49,240.676,450.722,1,0.264251,0.292876
1,16,0,264,264,0,0,319,10000,0,0,0,39,0,0,56,31,13836.1,409.968,813.451,1,0.157236,0.250215
1,15,5,70,70,0,0,75,2600,2,1,0,7,0,0,3,11,362.143,23.2217,42.3492,0.627971,0.0372726,0.0604713
1,14,0,74,74,0,0,76,2800,0,0,0,11,0,0,10,23,3763.27,93.5641,181.475,1,0.19292,0.277407
1,13,13,103,103,0,0,81,3600,0,0,0,17,0,0,10,32,2126.81,47.289,93.4233,1,0.134367,0.228748
1,12,15,65,65,0,0,87,3200,1,0,0,4,0,0,14,7,247.69,14.0974,28.41,0.234844,0.0108353,0.0240865
1,11,10,120,120,0,0,171,4500,1,0,0,22,0,0,12,28,7506.8,403.021,831.311,0.341352,0.0216627,0.0298006
1,10,7,36,36,0,0,41,900,0,0,0,6,0,0,1,5,52.5631,4.48496,5.28479,0.138525,0.00593416,0.00769584
1,9,10,95,95,0,0,80,3300,1,0,0,13,0,0,9,28,2653.2,43.5778,59.578,1,0.146312,0.217841
1,8,9,73,73,0,0,83,4000,2,0,0,7,0,0,5,21,1772.86,41.648,78.9848,1,0.116233,0.2191
1,7,0,64,64,0,0,77,2800,0,0,0,5,0,0,6,17,118.455,11.2593,13.495,0.949973,0.0460641,0.0879605
1,6,9,65,65,0,0,83,3000,2,0,0,6,0,0,3,17,1190.4,52.5633,113.156,1,0.0596846,0.0783021
1,5,15,45,45,0,0,43,900,0,0,0,5,0,0,0,11,60.8724,4.88457,8.43027,0.937481,0.0508595,0.119045
1,4,7,36,36,0,0,39,1600,1,0,0,4,0,0,3,12,790.17,15.9818,21.2411,1,0.178586,0.492819
1,3,2,59,59,0,0,77,2200,8,1,0,5,0,0,5,12,1316.52,69.522,148.169,0.71076,0.090423,0.100511
1,2,10,65,65,0,0,78,2500,1,0,0,9,0,0,1,20,180.634,12.6411,22.0705,0.248054,0.0366301,0.0314989
1,1,8,80,80,0,0,77,3400,2,0,0,5,0,0,3,18,2204.9,52.2331,89.8781,1,0.257948,0.17757
2,26,0,728,728,0,0,700,28300,0,0,0,82,0,0,0,0,37411.8,511.386,871.534,1,0.100323,0.142191
